"",BBFB1.Q.N.DE.NL.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.NL.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / Netherlands,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:09,
1991-01,879.210,
1991-04,898.165,
1991-07,901.648,
1991-10,864.737,
1992-01,857.215,
1992-04,877.905,
1992-07,998.766,
1992-10,821.139,
1993-01,1003.621,
1993-04,776.416,
1993-07,775.058,
1993-10,741.622,
1994-01,747.361,
1994-04,800.851,
1994-07,687.910,
1994-10,775.914,
1995-01,331.501,
1995-04,389.855,
1995-07,377.056,
1995-10,392.817,
1996-01,952.731,
1996-04,1046.235,
1996-07,937.985,
1996-10,1148.270,
1997-01,948.944,
1997-04,726.983,
1997-07,796.771,
1997-10,1224.965,
1998-01,1053.305,
1998-04,985.977,
1998-07,998.031,
1998-10,1054.954,
1999-01,1558.098,
1999-04,1660.014,
1999-07,1499.707,
1999-10,1621.724,
2000-01,1390.678,
2000-04,1298.774,
2000-07,678.350,
2000-10,4745.851,
2001-01,2087.476,
2001-04,2456.140,
2001-07,2332.482,
2001-10,2128.974,
2002-01,1887.434,
2002-04,2071.474,
2002-07,2131.501,
2002-10,1984.697,
2003-01,2131.285,
2003-04,2194.930,
2003-07,2182.155,
2003-10,2015.407,
2004-01,2728.319,
2004-04,2940.919,
2004-07,3141.385,
2004-10,3016.864,
2005-01,3061.348,
2005-04,3067.767,
2005-07,2954.732,
2005-10,2904.660,
2006-01,3889.384,
2006-04,4180.874,
2006-07,4164.569,
2006-10,4378.377,
2007-01,5872.116,
2007-04,6008.325,
2007-07,5405.028,
2007-10,4839.183,
2008-01,4934.351,
2008-04,4023.448,
2008-07,3677.438,
2008-10,4358.622,
2009-01,5135.455,
2009-04,5466.528,
2009-07,5344.331,
2009-10,5462.523,
2010-01,6681.971,
2010-04,6863.393,
2010-07,6970.820,
2010-10,7176.306,
2011-01,7583.358,
2011-04,7848.868,
2011-07,7722.205,
2011-10,7585.758,
2012-01,7532.964,
2012-04,7591.492,
2012-07,7530.744,
2012-10,7556.399,
2013-01,7279.922,
2013-04,7298.798,
2013-07,7037.826,
2013-10,7062.763,
2014-01,6927.343,Provisional value
2014-04,7155.416,Provisional value
2014-07,6906.774,Provisional value
