"",BBEX3.M.AOA.EUR.CA.AA.A01,BBEX3.M.AOA.EUR.CA.AA.A01_FLAGS
"",Exchange rates for the euro in Angola / EUR 1 = AOA ... (buying),
unit,AOA (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:15:39,
1999-12,5.55455,comment
2000-01,5.75897,
2000-02,5.67445,
2000-03,5.62390,
2000-04,6.02834,
2000-05,7.94546,
2000-06,9.53791,
2000-07,10.23615,
2000-08,10.88448,
2000-09,11.37798,
2000-10,11.66856,
2000-11,12.84268,
2000-12,15.27863,
2001-01,17.18862,
2001-02,17.76491,
2001-03,17.05669,
2001-04,17.31044,
2001-05,16.64061,
2001-06,17.18238,
2001-07,18.05864,
2001-08,20.15824,
2001-09,21.96521,
2001-10,23.75436,
2001-11,25.01317,
2001-12,28.08823,
2002-01,29.06336,
2002-02,30.26007,
2002-03,32.05455,
2002-04,34.78034,
2002-05,37.90444,
2002-06,42.07106,
2002-07,44.68217,
2002-08,46.17244,
2002-09,48.06332,
2002-10,50.39572,
2002-11,53.97595,
2002-12,60.81990,
2003-01,67.40196,
2003-02,70.70592,
2003-03,73.05804,
2003-04,78.26235,
2003-05,86.78547,
2003-06,89.10287,
2003-07,95.12883,
2003-08,93.16919,
2003-09,90.41930,
2003-10,91.58064,
2003-11,92.93454,
2003-12,98.69294,comment
2004-01,100.29095,
2004-02,99.68881,
2004-03,98.53830,
2004-04,96.62060,
2004-05,100.91208,
2004-06,101.31216,
2004-07,100.90625,
2004-08,102.49386,
2004-09,106.82570,
2004-10,110.47144,
2004-11,114.68271,
2004-12,116.32004,
2005-01,113.38212,
2005-02,115.05609,
2005-03,112.67049,
2005-04,113.46908,
2005-05,111.20086,
2005-06,107.11823,
2005-07,107.48269,
2005-08,108.69366,
2005-09,107.25167,
2005-10,106.22990,
2005-11,95.29342,
2005-12,95.53335,
2006-01,96.93897,
2006-02,95.48944,
2006-03,96.67841,
2006-04,99.71356,
2006-05,102.18997,
2006-06,100.60133,
2006-07,101.69325,
2006-08,102.84828,
2006-09,101.70631,
2006-10,101.95887,
2006-11,105.63425,comment
2006-12,105.23727,
2007-01,103.76334,
2007-02,105.50116,
2007-03,106.43944,
2007-04,106.95200,
2007-05,100.47800,
2007-06,100.56100,
2007-07,102.03400,
2007-08,101.96300,
2007-09,105.81800,
2007-10,107.73400,
2007-11,110.31100,
2007-12,109.91900,
2008-01,110.68000,
2008-02,113.24900,
2008-03,118.10900,
2008-04,116.46200,
2008-05,116.22800,
2008-06,117.80500,
2008-07,116.32100,
2008-08,110.14100,
2008-09,107.73800,
2008-10,97.01700,
2008-11,96.71600,
2008-12,105.92600,
2009-01,98.39900,
2009-02,96.16500,
2009-03,99.93000,
2009-04,101.42300,
2009-05,108.39300,
2009-06,109.23100,
2009-07,109.23900,
2009-08,111.56700,
2009-09,113.04200,
2009-10,124.41700,
2009-11,130.72300,
2009-12,127.87800,
2010-01,125.87400,
2010-02,121.57900,
2010-03,124.84600,
2010-04,123.02700,
2010-05,113.96100,
2010-06,114.18000,
2010-07,120.29300,
2010-08,114.41800,
2010-09,124.67700,
2010-10,127.80800,
2010-11,122.04100,
2010-12,122.37200,
2011-01,127.37900,
2011-02,127.76800,
2011-03,131.51700,
2011-04,136.52200,
2011-05,132.88400,
2011-06,133.21300,
2011-07,134.90600,
2011-08,135.08700,
2011-09,127.74700,comment
2011-10,134.73100,
2011-11,127.21400,
2011-12,122.85400,
2012-01,125.02600,
2012-02,127.76000,
2012-03,126.66400,
2012-04,125.82700,
2012-05,118.43700,
2012-06,118.68100,
2012-07,116.42200,
2012-08,119.41000,
2012-09,122.46700,
2012-10,123.38300,
2012-11,123.06500,
2012-12,126.07900,
2013-01,129.74100,
2013-02,125.31000,
2013-03,122.26500,
2013-04,125.42800,
2013-05,124.20800,
2013-06,125.13300,
2013-07,127.21800,
2013-08,127.01600,
2013-09,131.32800,
2013-10,133.27900,
2013-11,132.14500,
2013-12,134.05600,
2014-01,132.24000,
2014-02,132.95300,
2014-03,133.99800,
2014-04,134.61500,
2014-05,132.70000,
2014-06,132.65900,
2014-07,129.94800,
2014-08,128.39100,
2014-09,124.61100,
2014-10,125.25000,
2014-11,126.02200,
2014-12,125.11100,
2015-01,117.27200,
"","General: With effect from 13 December 1999, a currency changeover took place to the ratio of 1,000,000 AOR (readjusted kwanza) = 1 AOA (kwanza).",
"","Source: Banco Nacional de Angola, Luanda.",
"","Comment on 1999-12: With effect from 13 December 1999, a currency changeover took place. We recorded the following exchange rates (buying/selling rate).10 December 1999: EUR 1 = AOR 5,531,426 / 5,622,07713 December 1999: EUR 1 = AOA 5.50 / 5.60.",
"",Comment on 2003-12: Exchange rate as of 5 January 2004.,
"",Comment on 2006-11: Exchange rate as of 1 December 2006.,
"",Comment on 2011-09: Exchange rate as of 3 October 2011.,
