"",BBK01.OEAB05L,BBK01.OEAB05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:06,
2002-01,401.728,
2002-04,389.528,
2002-07,391.593,
2002-10,389.172,
2003-01,400.343,
2003-04,396.929,
2003-07,403.567,
2003-10,404.590,
2004-01,405.978,
2004-04,397.908,
2004-07,400.350,
2004-10,400.993,
2005-01,405.667,
2005-04,403.787,
2005-07,414.843,
2005-10,407.134,
2006-01,408.446,
2006-04,404.968,
2006-07,406.631,
2006-10,383.036,
2007-01,392.328,
2007-04,393.010,
2007-07,397.039,
2007-10,402.925,
2008-01,413.777,
2008-04,402.156,
2008-07,424.501,
2008-10,430.883,
2009-01,439.339,
2009-04,431.244,
2009-07,403.988,
2009-10,390.197,
2010-01,376.472,
2010-04,381.741,
2010-07,372.946,
2010-10,379.773,
2011-01,385.351,
2011-04,378.542,
2011-07,378.143,
2011-10,375.001,
2012-01,373.500,
2012-04,372.145,
2012-07,369.507,
2012-10,366.142,
2013-01,368.219,
2013-04,376.199,
2013-07,344.749,
2013-10,345.658,
2014-01,344.448,
2014-04,343.286,
2014-07,342.142,
