"",BBK01.OEAF11S,BBK01.OEAF11S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:52,
2002-01,0.396,
2002-04,0.411,
2002-07,0.431,
2002-10,0.417,
2003-01,0.419,
2003-04,0.428,
2003-07,0.439,
2003-10,0.428,
2004-01,0.386,
2004-04,0.400,
2004-07,0.410,
2004-10,0.400,
2005-01,0.402,
2005-04,0.425,
2005-07,0.442,
2005-10,0.417,
2006-01,0.408,
2006-04,0.413,
2006-07,0.420,
2006-10,0.398,
2007-01,0.393,
2007-04,0.393,
2007-07,0.366,
2007-10,0.357,
2008-01,0.341,
2008-04,0.351,
2008-07,0.357,
2008-10,0.342,
2009-01,0.330,
2009-04,0.333,
2009-07,0.349,
2009-10,0.339,
2010-01,0.337,
2010-04,0.338,
2010-07,0.414,
2010-10,0.319,
2011-01,0.324,
2011-04,0.326,
2011-07,0.332,
2011-10,0.319,
2012-01,0.313,
2012-04,0.305,
2012-07,0.259,
2012-10,0.252,
2013-01,0.250,
2013-04,0.246,
2013-07,0.262,
2013-10,0.249,
2014-01,0.248,
2014-04,0.249,
2014-07,0.249,
