"",BBK01.OELB20U,BBK01.OELB20U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:48,
2002-01,0.987,
2002-04,0.986,
2002-07,0.997,
2002-10,0.998,
2003-01,0.975,
2003-04,0.972,
2003-07,0.966,
2003-10,0.963,
2004-01,0.960,
2004-04,0.965,
2004-07,0.959,
2004-10,1.057,
2005-01,1.020,
2005-04,1.018,
2005-07,1.036,
2005-10,1.040,
2006-01,1.040,
2006-04,1.046,
2006-07,1.047,
2006-10,0.984,
2007-01,0.976,
2007-04,0.970,
2007-07,0.965,
2007-10,0.959,
2008-01,0.954,
2008-04,0.959,
2008-07,0.968,
2008-10,0.967,
2009-01,0.963,
2009-04,0.976,
2009-07,0.985,
2009-10,0.989,
2010-01,0.991,
2010-04,1.005,
2010-07,1.016,
2010-10,1.027,
2011-01,1.033,
2011-04,1.049,
2011-07,1.065,
2011-10,1.071,
2012-01,1.071,
2012-04,1.145,
2012-07,1.162,
2012-10,1.173,
2013-01,1.180,
2013-04,1.212,
2013-07,1.232,
2013-10,1.242,
2014-01,1.254,
2014-04,1.265,
2014-07,1.290,
