"",BBK01.OEHB15L,BBK01.OEHB15L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:49,
2002-01,0.481,
2002-04,0.471,
2002-07,0.467,
2002-10,0.427,
2003-01,0.445,
2003-04,0.426,
2003-07,0.423,
2003-10,0.404,
2004-01,0.385,
2004-04,0.364,
2004-07,0.398,
2004-10,0.401,
2005-01,0.404,
2005-04,0.395,
2005-07,0.398,
2005-10,0.397,
2006-01,0.382,
2006-04,0.379,
2006-07,0.389,
2006-10,0.387,
2007-01,0.374,
2007-04,0.374,
2007-07,0.370,
2007-10,0.379,
2008-01,0.387,
2008-04,0.392,
2008-07,0.388,
2008-10,0.396,
2009-01,0.382,
2009-04,0.394,
2009-07,0.376,
2009-10,0.385,
2010-01,0.367,
2010-04,0.386,
2010-07,0.379,
2010-10,0.403,
2011-01,0.394,
2011-04,0.381,
2011-07,0.381,
2011-10,0.388,
2012-01,0.384,
2012-04,0.396,
2012-07,0.384,
2012-10,0.376,
2013-01,0.374,
2013-04,0.376,
2013-07,0.389,
2013-10,0.374,
2014-01,0.361,
2014-04,0.368,
2014-07,0.374,
