"",BBK01.OEYB03G,BBK01.OEYB03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:22,
2002-01,17.554,
2002-04,16.999,
2002-07,17.336,
2002-10,16.784,
2003-01,16.556,
2003-04,18.014,
2003-07,18.233,
2003-10,18.339,
2004-01,19.284,
2004-04,19.428,
2004-07,19.102,
2004-10,18.357,
2005-01,18.585,
2005-04,18.041,
2005-07,21.832,
2005-10,21.074,
2006-01,24.664,
2006-04,24.410,
2006-07,25.971,
2006-10,25.424,
2007-01,25.706,
2007-04,24.893,
2007-07,24.516,
2007-10,24.190,
2008-01,15.049,
2008-04,15.573,
2008-07,17.273,
2008-10,18.282,
2009-01,20.955,
2009-04,21.260,
2009-07,23.644,
2009-10,22.188,
2010-01,21.885,
2010-04,20.681,
2010-07,21.830,
2010-10,21.716,
2011-01,21.339,
2011-04,20.529,
2011-07,19.720,
2011-10,20.041,
2012-01,20.366,
2012-04,19.856,
2012-07,18.906,
2012-10,18.827,
2013-01,17.749,
2013-04,16.863,
2013-07,14.795,
2013-10,14.929,
2014-01,15.248,
2014-04,16.933,
2014-07,19.540,
