"",BBK01.OEYI01I,BBK01.OEYI01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:34,
2002-01,42.130,
2002-04,42.024,
2002-07,41.946,
2002-10,41.976,
2003-01,42.011,
2003-04,40.814,
2003-07,45.762,
2003-10,48.407,
2004-01,49.335,
2004-04,49.184,
2004-07,50.178,
2004-10,50.361,
2005-01,52.254,
2005-04,50.289,
2005-07,50.930,
2005-10,51.718,
2006-01,53.396,
2006-04,54.979,
2006-07,56.703,
2006-10,52.728,
2007-01,52.510,
2007-04,54.237,
2007-07,57.451,
2007-10,56.574,
2008-01,57.293,
2008-04,62.501,
2008-07,62.711,
2008-10,61.374,
2009-01,66.185,
2009-04,66.743,
2009-07,67.390,
2009-10,65.615,
2010-01,68.674,
2010-04,63.324,
2010-07,69.932,
2010-10,70.461,
2011-01,69.888,
2011-04,74.432,
2011-07,76.556,
2011-10,70.793,
2012-01,72.357,
2012-04,72.418,
2012-07,72.258,
2012-10,72.156,
2013-01,76.711,
2013-04,76.603,
2013-07,66.021,
2013-10,65.036,
2014-01,66.113,
2014-04,67.528,
2014-07,68.452,
