"",BBSF2.M.1.T.00000.SON01.I.F.SVB.DE.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.SON01.I.F.SVB.DE.00000.F33200.Z01.M1_FLAGS
"",Funds total / Other funds / Long-term debt securities / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:34,
2009-09,581,
2009-10,683,
2009-11,1263,
2009-12,1379,
2010-01,1278,
2010-02,1269,
2010-03,1282,
2010-04,1321,
2010-05,1254,
2010-06,1201,
2010-07,1118,
2010-08,1137,
2010-09,1180,
2010-10,1156,
2010-11,1185,
2010-12,1199,
2011-01,1227,
2011-02,1267,
2011-03,1258,
2011-04,1278,
2011-05,1253,
2011-06,1332,
2011-07,1583,
2011-08,1797,
2011-09,1809,
2011-10,2143,
2011-11,2899,
2011-12,3096,
2012-01,2870,
2012-02,2714,
2012-03,2506,
2012-04,2435,
2012-05,2358,
2012-06,2253,
2012-07,2261,
2012-08,2323,
2012-09,2325,
2012-10,2250,
2012-11,2291,
2012-12,2311,
2013-01,2370,
2013-02,2364,
2013-03,2379,
2013-04,2456,
2013-05,2528,
2013-06,2414,
2013-07,2393,
2013-08,2317,
2013-09,2332,
2013-10,2346,
2013-11,2293,
2013-12,2298,
2014-01,2343,
2014-02,2405,
2014-03,2540,
2014-04,2549,
2014-05,2614,
2014-06,2610,
2014-07,2629,
2014-08,4287,
2014-09,4040,
2014-10,4179,
2014-11,4194,
