"",BBNZ1.Q.DE.N.I.0110.A,BBNZ1.Q.DE.N.I.0110.A_FLAGS
"",Germany / National accounts / Use of GDP / Exports of goods and services / Price index,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:20:49,
1991-01,91.23,
1991-04,93.89,
1991-07,94.11,
1991-10,93.98,
1992-01,93.81,
1992-04,94.55,
1992-07,94.48,
1992-10,94.29,
1993-01,94.31,
1993-04,94.56,
1993-07,94.78,
1993-10,94.35,
1994-01,94.87,
1994-04,95.17,
1994-07,95.29,
1994-10,95.61,
1995-01,96.51,
1995-04,96.55,
1995-07,96.70,
1995-10,96.38,
1996-01,96.38,
1996-04,96.50,
1996-07,96.27,
1996-10,96.00,
1997-01,96.51,
1997-04,97.03,
1997-07,97.49,
1997-10,97.25,
1998-01,97.09,
1998-04,96.87,
1998-07,96.35,
1998-10,95.18,
1999-01,95.24,
1999-04,95.47,
1999-07,95.88,
1999-10,96.00,
2000-01,97.11,
2000-04,97.79,
2000-07,98.58,
2000-10,99.24,
2001-01,98.81,
2001-04,99.22,
2001-07,99.11,
2001-10,98.58,
2002-01,98.34,
2002-04,98.49,
2002-07,98.25,
2002-10,98.11,
2003-01,97.34,
2003-04,97.25,
2003-07,96.88,
2003-10,96.52,
2004-01,96.02,
2004-04,96.84,
2004-07,97.12,
2004-10,97.17,
2005-01,97.33,
2005-04,98.02,
2005-07,98.09,
2005-10,98.14,
2006-01,98.52,
2006-04,99.18,
2006-07,99.17,
2006-10,99.04,
2007-01,98.89,
2007-04,99.52,
2007-07,99.49,
2007-10,99.25,
2008-01,99.78,
2008-04,100.50,
2008-07,100.95,
2008-10,100.02,
2009-01,98.26,
2009-04,97.29,
2009-07,97.58,
2009-10,97.78,
2010-01,98.16,
2010-04,99.87,
2010-07,100.99,
2010-10,100.79,
2011-01,102.40,
2011-04,102.78,
2011-07,103.09,
2011-10,102.77,
2012-01,103.94,
2012-04,104.42,
2012-07,104.71,
2012-10,104.40,
2013-01,104.29,
2013-04,104.41,
2013-07,104.10,
2013-10,103.81,
2014-01,103.75,
2014-04,103.80,
2014-07,103.97,
2014-10,104.05,
