"",BBK01.OEHO03T,BBK01.OEHO03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:49,
2002-01,0.727,
2002-04,0.673,
2002-07,0.648,
2002-10,0.716,
2003-01,0.807,
2003-04,0.677,
2003-07,0.660,
2003-10,0.725,
2004-01,0.653,
2004-04,0.633,
2004-07,0.616,
2004-10,0.600,
2005-01,0.605,
2005-04,0.542,
2005-07,0.473,
2005-10,0.564,
2006-01,0.624,
2006-04,0.561,
2006-07,0.559,
2006-10,0.689,
2007-01,0.706,
2007-04,0.581,
2007-07,0.575,
2007-10,0.671,
2008-01,0.745,
2008-04,0.609,
2008-07,0.629,
2008-10,0.732,
2009-01,0.745,
2009-04,0.653,
2009-07,0.674,
2009-10,0.597,
2010-01,0.473,
2010-04,0.438,
2010-07,0.425,
2010-10,0.484,
2011-01,0.515,
2011-04,0.502,
2011-07,0.484,
2011-10,0.537,
2012-01,0.512,
2012-04,0.459,
2012-07,0.469,
2012-10,0.522,
2013-01,0.448,
2013-04,0.412,
2013-07,0.404,
2013-10,0.438,
2014-01,0.463,
2014-04,0.385,
2014-07,0.391,
