"",BBK01.OXA7C5,BBK01.OXA7C5_FLAGS
"","Other loans to domestic households (including bills of exchange), traditionally securitised by servicing banks (MFIs) in Germany also being the originator with removal from the balance sheet - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:39,
2009-12,0.132,
2010-01,0.130,
2010-02,0.129,
2010-03,0.127,
2010-04,0.126,
2010-05,0.126,
2010-06,0.125,
2010-07,0.126,
2010-08,0.125,
2010-09,0.121,
2010-10,0.115,
2010-11,0.112,
2010-12,0.110,
2011-01,0.112,
2011-02,0.113,
2011-03,0.113,
2011-04,0.115,
2011-05,0.111,
2011-06,0.108,
2011-07,0.109,
2011-08,0.113,
2011-09,0.113,
2011-10,0.115,
2011-11,0.115,
2011-12,0.116,
2012-01,0.119,
2012-02,0.119,
2012-03,0.114,
2012-04,0.111,
2012-05,0.113,
2012-06,0.112,
2012-07,0.107,
2012-08,0.106,
2012-09,0.106,
2012-10,0.104,
2012-11,0.101,
2012-12,0.099,
2013-01,0.095,
2013-02,0.105,
2013-03,0.111,
2013-04,0.119,
2013-05,0.117,
2013-06,0.121,
2013-07,0.124,
2013-08,0.126,
2013-09,0.129,
2013-10,0.131,
2013-11,0.130,
2013-12,0.156,
2014-01,0.155,
2014-02,0.156,
2014-03,0.156,
2014-04,0.158,
2014-05,0.159,
2014-06,0.161,
2014-07,0.158,
2014-08,0.151,
2014-09,0.152,
2014-10,0.149,
2014-11,0.149,
2014-12,0.174,Provisional value
