"",BBK01.OEBJ02J,BBK01.OEBJ02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:10,
2002-01,0.685,
2002-04,0.629,
2002-07,0.642,
2002-10,0.747,
2003-01,0.646,
2003-04,0.702,
2003-07,0.708,
2003-10,0.773,
2004-01,0.803,
2004-04,0.858,
2004-07,0.848,
2004-10,0.843,
2005-01,0.979,
2005-04,0.934,
2005-07,0.888,
2005-10,0.980,
2006-01,0.991,
2006-04,1.033,
2006-07,1.002,
2006-10,1.056,
2007-01,1.090,
2007-04,1.166,
2007-07,1.203,
2007-10,1.151,
2008-01,1.268,
2008-04,1.219,
2008-07,1.159,
2008-10,1.326,
2009-01,1.295,
2009-04,1.229,
2009-07,1.243,
2009-10,1.516,
2010-01,1.305,
2010-04,1.293,
2010-07,1.254,
2010-10,1.322,
2011-01,1.254,
2011-04,1.312,
2011-07,1.321,
2011-10,1.522,
2012-01,1.379,
2012-04,1.395,
2012-07,1.825,
2012-10,1.763,
2013-01,1.689,
2013-04,1.601,
2013-07,1.561,
2013-10,1.920,
2014-01,1.656,
2014-04,1.721,
2014-07,1.817,
