"",BBSF2.M.1.S.00000.DAC01.I.F.AKT.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.DAC01.I.F.AKT.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds-of-funds / Shares,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:36,
2009-09,18,
2009-10,18,
2009-11,18,
2009-12,19,
2010-01,20,
2010-02,20,
2010-03,20,
2010-04,20,
2010-05,19,
2010-06,19,
2010-07,19,
2010-08,23,
2010-09,23,
2010-10,24,
2010-11,22,
2010-12,25,
2011-01,25,
2011-02,26,
2011-03,30,
2011-04,30,
2011-05,24,
2011-06,23,
2011-07,23,
2011-08,22,
2011-09,22,
2011-10,22,
2011-11,22,
2011-12,35,
2012-01,30,
2012-02,30,
2012-03,32,
2012-04,30,
2012-05,23,
2012-06,24,
2012-07,24,
2012-08,25,
2012-09,79,
2012-10,79,
2012-11,79,
2012-12,79,
2013-01,80,
2013-02,82,
2013-03,86,
2013-04,87,
2013-05,88,
2013-06,82,
2013-07,85,
2013-08,84,
2013-09,84,
2013-10,127,
2013-11,142,
2013-12,140,
2014-01,134,
2014-02,137,
2014-03,155,
2014-04,152,
2014-05,159,
2014-06,158,
2014-07,204,
2014-08,147,
2014-09,95,
2014-10,95,
2014-11,95,
