"",BBK01.OELK03G,BBK01.OELK03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:23,
2002-01,1.494,
2002-04,1.473,
2002-07,1.457,
2002-10,1.444,
2003-01,1.401,
2003-04,1.350,
2003-07,1.291,
2003-10,1.306,
2004-01,1.238,
2004-04,1.173,
2004-07,1.174,
2004-10,1.101,
2005-01,1.054,
2005-04,1.040,
2005-07,1.078,
2005-10,1.098,
2006-01,1.121,
2006-04,1.146,
2006-07,1.176,
2006-10,1.165,
2007-01,1.208,
2007-04,1.210,
2007-07,1.360,
2007-10,1.506,
2008-01,1.530,
2008-04,1.712,
2008-07,1.773,
2008-10,2.045,
2009-01,1.681,
2009-04,1.373,
2009-07,1.183,
2009-10,1.080,
2010-01,1.030,
2010-04,0.977,
2010-07,0.959,
2010-10,0.987,
2011-01,0.950,
2011-04,0.968,
2011-07,1.027,
2011-10,1.039,
2012-01,0.941,
2012-04,0.887,
2012-07,0.822,
2012-10,0.745,
2013-01,0.696,
2013-04,0.637,
2013-07,0.604,
2013-10,0.610,
2014-01,0.564,
2014-04,0.530,
2014-07,0.526,
