"",BBNZ1.Q.DE.Y.G.0050.A,BBNZ1.Q.DE.Y.G.0050.A_FLAGS
"","Germany / National accounts / Origin of GDP / Agriculture, forestry and fishing / At current prices / Calendar and seasonally adjusted",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-25 17:37:50,
1991-01,4.172,
1991-04,4.233,
1991-07,4.319,
1991-10,4.424,
1992-01,4.392,
1992-04,4.272,
1992-07,4.083,
1992-10,3.982,
1993-01,4.337,
1993-04,4.174,
1993-07,3.990,
1993-10,3.896,
1994-01,3.931,
1994-04,4.089,
1994-07,4.624,
1994-10,4.742,
1995-01,4.789,
1995-04,4.765,
1995-07,4.427,
1995-10,4.448,
1996-01,4.828,
1996-04,4.986,
1996-07,5.095,
1996-10,4.626,
1997-01,4.684,
1997-04,4.881,
1997-07,5.016,
1997-10,5.146,
1998-01,4.946,
1998-04,4.661,
1998-07,4.730,
1998-10,4.856,
1999-01,4.874,
1999-04,4.872,
1999-07,4.828,
1999-10,4.698,
2000-01,5.053,
2000-04,5.155,
2000-07,5.240,
2000-10,5.131,
2001-01,5.638,
2001-04,5.852,
2001-07,5.936,
2001-10,5.706,
2002-01,5.151,
2002-04,4.813,
2002-07,4.725,
2002-10,4.650,
2003-01,4.193,
2003-04,4.222,
2003-07,4.631,
2003-10,4.813,
2004-01,5.959,
2004-04,5.673,
2004-07,5.039,
2004-10,4.434,
2005-01,4.190,
2005-04,4.081,
2005-07,4.078,
2005-10,3.877,
2006-01,3.978,
2006-04,4.257,
2006-07,4.486,
2006-10,4.586,
2007-01,4.077,
2007-04,3.985,
2007-07,5.290,
2007-10,5.715,
2008-01,6.756,
2008-04,5.766,
2008-07,4.957,
2008-10,3.517,
2009-01,4.415,
2009-04,4.200,
2009-07,4.021,
2009-10,4.062,
2010-01,3.393,
2010-04,3.645,
2010-07,4.807,
2010-10,5.330,
2011-01,5.023,
2011-04,5.304,
2011-07,4.799,
2011-10,4.404,
2012-01,5.000,
2012-04,5.128,
2012-07,5.588,
2012-10,5.865,
2013-01,5.736,
2013-04,5.644,
2013-07,4.920,
2013-10,5.357,
2014-01,5.438,
2014-04,5.379,
2014-07,4.510,
2014-10,4.769,
