"",BBK01.OEAE11T,BBK01.OEAE11T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:06,
2002-01,0.117,
2002-04,0.109,
2002-07,0.134,
2002-10,0.128,
2003-01,0.136,
2003-04,0.135,
2003-07,0.132,
2003-10,0.130,
2004-01,0.134,
2004-04,0.133,
2004-07,0.122,
2004-10,0.121,
2005-01,0.112,
2005-04,0.128,
2005-07,0.109,
2005-10,0.107,
2006-01,0.095,
2006-04,0.099,
2006-07,0.099,
2006-10,0.112,
2007-01,0.099,
2007-04,0.094,
2007-07,0.095,
2007-10,0.097,
2008-01,0.081,
2008-04,0.091,
2008-07,0.085,
2008-10,0.045,
2009-01,0.047,
2009-04,0.050,
2009-07,0.057,
2009-10,0.058,
2010-01,0.103,
2010-04,0.131,
2010-07,0.078,
2010-10,0.089,
2011-01,0.074,
2011-04,0.060,
2011-07,0.030,
2011-10,0.059,
2012-01,0.039,
2012-04,0.024,
2012-07,0.066,
2012-10,0.066,
2013-01,0.074,
2013-04,0.244,
2013-07,0.182,
2013-10,0.144,
2014-01,0.097,
2014-04,0.039,
2014-07,0.132,
