"",BBDE1.M.DE.Y.AEM1.A2P320000.F.C.I10.A,BBDE1.M.DE.Y.AEM1.A2P320000.F.C.I10.A_FLAGS
"","Orders received excluding large orders, total / At constant prices / Germany / Capital goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:19:55,
2010-01,87.7,
2010-02,89.8,
2010-03,94.3,
2010-04,98.0,
2010-05,99.3,
2010-06,99.5,
2010-07,100.4,
2010-08,103.2,
2010-09,102.8,
2010-10,104.0,
2010-11,108.9,
2010-12,107.4,
2011-01,111.5,
2011-02,111.0,
2011-03,108.9,
2011-04,108.0,
2011-05,107.8,
2011-06,106.4,
2011-07,109.0,
2011-08,108.8,
2011-09,107.9,
2011-10,108.1,
2011-11,106.3,
2011-12,106.3,
2012-01,105.6,
2012-02,107.5,
2012-03,107.6,
2012-04,107.2,
2012-05,108.1,
2012-06,105.0,
2012-07,107.3,
2012-08,104.3,
2012-09,104.8,
2012-10,106.2,
2012-11,104.8,
2012-12,106.7,
2013-01,105.7,
2013-02,106.8,
2013-03,108.0,
2013-04,107.6,
2013-05,106.4,
2013-06,110.2,
2013-07,108.1,
2013-08,110.5,
2013-09,110.4,
2013-10,109.7,
2013-11,111.6,
2013-12,110.9,
2014-01,114.0,
2014-02,112.9,
2014-03,113.2,
2014-04,113.1,
2014-05,109.1,
2014-06,110.2,
2014-07,113.4,
2014-08,107.7,
2014-09,112.1,
2014-10,118.1,
2014-11,115.4,
2014-12,117.5,Provisional value
