"",BBK01.OEBB21L,BBK01.OEBB21L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:23,
2002-01,9.757,
2002-04,5.030,
2002-07,5.219,
2002-10,7.151,
2003-01,5.275,
2003-04,5.374,
2003-07,5.170,
2003-10,6.726,
2004-01,12.755,
2004-04,10.337,
2004-07,10.794,
2004-10,9.129,
2005-01,12.518,
2005-04,13.026,
2005-07,12.111,
2005-10,20.044,
2006-01,20.192,
2006-04,15.967,
2006-07,14.800,
2006-10,15.264,
2007-01,14.111,
2007-04,13.675,
2007-07,13.041,
2007-10,13.772,
2008-01,14.219,
2008-04,15.734,
2008-07,16.149,
2008-10,17.513,
2009-01,20.600,
2009-04,19.072,
2009-07,20.764,
2009-10,16.881,
2010-01,19.996,
2010-04,19.782,
2010-07,20.828,
2010-10,26.652,
2011-01,29.895,
2011-04,23.875,
2011-07,24.754,
2011-10,24.692,
2012-01,24.160,
2012-04,24.969,
2012-07,22.623,
2012-10,24.751,
2013-01,21.628,
2013-04,22.064,
2013-07,21.521,
2013-10,23.868,
2014-01,25.156,
2014-04,24.794,
2014-07,24.594,
