"",BBK01.OEAE32U,BBK01.OEAE32U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:30,
2002-01,0.299,
2002-04,0.304,
2002-07,0.305,
2002-10,0.308,
2003-01,0.296,
2003-04,0.294,
2003-07,0.289,
2003-10,0.285,
2004-01,0.286,
2004-04,0.287,
2004-07,0.285,
2004-10,0.281,
2005-01,0.274,
2005-04,0.267,
2005-07,0.261,
2005-10,0.256,
2006-01,0.247,
2006-04,0.246,
2006-07,0.236,
2006-10,0.236,
2007-01,0.233,
2007-04,0.228,
2007-07,0.230,
2007-10,0.226,
2008-01,0.220,
2008-04,0.221,
2008-07,0.219,
2008-10,0.219,
2009-01,0.216,
2009-04,0.224,
2009-07,0.226,
2009-10,0.215,
2010-01,0.218,
2010-04,0.218,
2010-07,0.213,
2010-10,0.213,
2011-01,0.215,
2011-04,0.214,
2011-07,0.217,
2011-10,0.209,
2012-01,0.205,
2012-04,0.226,
2012-07,0.228,
2012-10,0.229,
2013-01,0.239,
2013-04,0.256,
2013-07,0.260,
2013-10,0.260,
2014-01,0.225,
2014-04,0.220,
2014-07,0.217,
