"",BBK01.OEAC34O,BBK01.OEAC34O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:16,
2002-01,0.485,
2002-04,0.431,
2002-07,0.397,
2002-10,0.396,
2003-01,0.354,
2003-04,0.365,
2003-07,0.344,
2003-10,0.323,
2004-01,0.310,
2004-04,0.311,
2004-07,0.310,
2004-10,0.296,
2005-01,0.284,
2005-04,0.284,
2005-07,0.291,
2005-10,0.270,
2006-01,0.269,
2006-04,0.266,
2006-07,0.272,
2006-10,0.277,
2007-01,0.275,
2007-04,0.262,
2007-07,0.260,
2007-10,0.245,
2008-01,0.249,
2008-04,0.246,
2008-07,0.228,
2008-10,0.247,
2009-01,0.295,
2009-04,0.321,
2009-07,0.317,
2009-10,0.322,
2010-01,0.394,
2010-04,0.399,
2010-07,0.379,
2010-10,0.366,
2011-01,0.352,
2011-04,0.351,
2011-07,0.366,
2011-10,0.378,
2012-01,0.373,
2012-04,0.386,
2012-07,0.374,
2012-10,0.368,
2013-01,0.358,
2013-04,0.343,
2013-07,0.381,
2013-10,0.347,
2014-01,0.337,
2014-04,0.339,
2014-07,0.359,
