"",BBK01.OEAH60K,BBK01.OEAH60K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:50,
2002-01,3.542,
2002-04,3.357,
2002-07,3.336,
2002-10,3.354,
2003-01,3.161,
2003-04,2.932,
2003-07,2.684,
2003-10,2.548,
2004-01,2.314,
2004-04,2.194,
2004-07,2.177,
2004-10,2.306,
2005-01,2.211,
2005-04,1.916,
2005-07,1.914,
2005-10,2.093,
2006-01,2.017,
2006-04,2.104,
2006-07,2.224,
2006-10,2.617,
2007-01,2.839,
2007-04,3.025,
2007-07,3.496,
2007-10,4.009,
2008-01,4.158,
2008-04,4.568,
2008-07,5.012,
2008-10,5.508,
2009-01,3.635,
2009-04,3.072,
2009-07,2.429,
2009-10,1.967,
2010-01,1.765,
2010-04,1.836,
2010-07,1.704,
2010-10,1.951,
2011-01,1.678,
2011-04,1.793,
2011-07,1.941,
2011-10,1.993,
2012-01,1.667,
2012-04,1.376,
2012-07,1.167,
2012-10,0.932,
2013-01,0.812,
2013-04,0.881,
2013-07,0.772,
2013-10,0.723,
2014-01,0.732,
2014-04,0.722,
2014-07,0.664,
