"",BBSF2.M.1.T.00000.GEL01.I.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.GEL01.I.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Money market funds / Sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:27,
2009-09,464,
2009-10,466,
2009-11,423,
2009-12,531,
2010-01,1249,
2010-02,384,
2010-03,426,
2010-04,460,
2010-05,886,
2010-06,577,
2010-07,1235,
2010-08,605,
2010-09,332,
2010-10,303,
2010-11,734,
2010-12,536,
2011-01,592,
2011-02,460,
2011-03,813,
2011-04,403,
2011-05,271,
2011-06,308,
2011-07,327,
2011-08,700,
2011-09,432,
2011-10,368,
2011-11,341,
2011-12,295,
2012-01,275,
2012-02,170,
2012-03,209,
2012-04,172,
2012-05,225,
2012-06,366,
2012-07,308,
2012-08,180,
2012-09,110,
2012-10,885,
2012-11,154,
2012-12,2170,
2013-01,286,
2013-02,61,
2013-03,75,
2013-04,858,
2013-05,117,
2013-06,302,
2013-07,238,
2013-08,140,
2013-09,112,
2013-10,68,
2013-11,73,
2013-12,187,
2014-01,262,
2014-02,116,
2014-03,70,
2014-04,125,
2014-05,128,
2014-06,48,
2014-07,110,
2014-08,91,
2014-09,111,
2014-10,168,
2014-11,126,
