"",BBK01.OEAI04I,BBK01.OEAI04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:24,
2002-01,13.076,
2002-04,12.847,
2002-07,12.852,
2002-10,12.883,
2003-01,13.709,
2003-04,12.119,
2003-07,10.644,
2003-10,10.760,
2004-01,10.160,
2004-04,9.366,
2004-07,10.042,
2004-10,10.262,
2005-01,10.876,
2005-04,9.694,
2005-07,9.249,
2005-10,10.223,
2006-01,11.345,
2006-04,11.148,
2006-07,11.335,
2006-10,12.246,
2007-01,12.455,
2007-04,13.195,
2007-07,16.853,
2007-10,18.049,
2008-01,18.948,
2008-04,22.719,
2008-07,23.952,
2008-10,20.792,
2009-01,21.172,
2009-04,20.915,
2009-07,17.912,
2009-10,16.769,
2010-01,19.576,
2010-04,14.809,
2010-07,21.634,
2010-10,20.238,
2011-01,21.595,
2011-04,24.965,
2011-07,28.484,
2011-10,24.777,
2012-01,27.671,
2012-04,27.951,
2012-07,27.809,
2012-10,25.278,
2013-01,31.374,
2013-04,31.342,
2013-07,22.625,
2013-10,20.520,
2014-01,21.083,
2014-04,21.876,
2014-07,21.253,
