"",BBFB1.Q.N.DE.W1.S12T.S1.T.A.FA.P.F3.L._T.M.N,BBFB1.Q.N.DE.W1.S12T.S1.T.A.FA.P.F3.L._T.M.N_FLAGS
"",Assets (Net Acquisition of) / Financial account / Debt securities / Rest of the World / Monetary financial institutions other than central bank / Portfolio investment,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:58:39,
1991-01,1064.510,
1991-04,1573.245,
1991-07,949.980,
1991-10,2487.435,
1992-01,2960.380,
1992-04,3890.420,
1992-07,-532.766,
1992-10,2328.935,
1993-01,4757.571,
1993-04,891.693,
1993-07,1296.125,
1993-10,3092.805,
1994-01,2239.458,
1994-04,229.059,
1994-07,568.045,
1994-10,-139.071,
1995-01,2928.169,
1995-04,2851.475,
1995-07,2116.748,
1995-10,1900.472,
1996-01,4164.984,
1996-04,2722.629,
1996-07,2711.892,
1996-10,2862.212,
1997-01,5967.799,
1997-04,5078.151,
1997-07,6573.168,
1997-10,2514.533,
1998-01,9150.080,
1998-04,15505.949,
1998-07,-3275.336,
1998-10,20073.831,
1999-01,7777.000,
1999-04,19163.000,
1999-07,12740.000,
1999-10,7265.000,
2000-01,16049.000,
2000-04,6141.000,
2000-07,10668.000,
2000-10,9042.000,
2001-01,18346.000,
2001-04,13849.000,
2001-07,1739.000,
2001-10,5686.000,
2002-01,8596.000,
2002-04,9719.000,
2002-07,1590.000,
2002-10,-5941.000,
2003-01,5381.427,
2003-04,11680.010,
2003-07,-395.461,
2003-10,14782.104,
2004-01,24616.940,
2004-04,16345.495,
2004-07,9277.210,
2004-10,14750.120,
2005-01,39715.885,
2005-04,27141.337,
2005-07,-2880.504,
2005-10,22863.462,
2006-01,31048.117,
2006-04,19691.780,
2006-07,9452.224,
2006-10,40346.697,
2007-01,47562.079,
2007-04,31592.521,
2007-07,3646.722,
2007-10,12725.440,
2008-01,19145.717,
2008-04,8756.843,
2008-07,-11809.014,
2008-10,-25410.959,
2009-01,-9745.972,
2009-04,-5111.847,
2009-07,-10520.868,
2009-10,-6122.726,
2010-01,1360.432,
2010-04,-44135.561,
2010-07,-9644.264,
2010-10,-16450.522,
2011-01,-3549.919,
2011-04,-8685.199,
2011-07,-20589.475,
2011-10,-9397.490,
2012-01,-1839.333,
2012-04,-12786.236,
2012-07,-6620.393,
2012-10,60.035,
2013-01,-3266.725,
2013-04,7701.488,
2013-07,-289.295,
2013-10,2199.803,
2014-01,3419.725,
2014-04,1255.149,
2014-07,5174.673,
