"",BBK01.OEGO03I,BBK01.OEGO03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:24,
2002-01,0.726,
2002-04,0.757,
2002-07,0.650,
2002-10,0.665,
2003-01,0.694,
2003-04,0.596,
2003-07,0.803,
2003-10,0.840,
2004-01,0.883,
2004-04,0.747,
2004-07,0.802,
2004-10,0.713,
2005-01,0.756,
2005-04,0.774,
2005-07,0.723,
2005-10,0.713,
2006-01,0.833,
2006-04,0.815,
2006-07,0.704,
2006-10,0.755,
2007-01,0.994,
2007-04,0.944,
2007-07,0.816,
2007-10,0.676,
2008-01,0.786,
2008-04,0.821,
2008-07,0.771,
2008-10,0.696,
2009-01,0.813,
2009-04,0.962,
2009-07,1.024,
2009-10,1.392,
2010-01,0.769,
2010-04,0.491,
2010-07,0.415,
2010-10,0.447,
2011-01,0.628,
2011-04,0.592,
2011-07,0.472,
2011-10,0.431,
2012-01,0.396,
2012-04,0.345,
2012-07,0.403,
2012-10,0.346,
2013-01,0.361,
2013-04,0.315,
2013-07,0.331,
2013-10,0.369,
2014-01,0.325,
2014-04,0.317,
2014-07,0.350,
