"",BBK01.OELI09P,BBK01.OELI09P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:19,
2002-01,0.451,
2002-04,0.447,
2002-07,0.438,
2002-10,0.461,
2003-01,0.484,
2003-04,0.448,
2003-07,0.437,
2003-10,0.406,
2004-01,0.389,
2004-04,0.332,
2004-07,0.310,
2004-10,0.313,
2005-01,0.307,
2005-04,0.289,
2005-07,0.300,
2005-10,0.313,
2006-01,0.355,
2006-04,0.347,
2006-07,0.353,
2006-10,0.367,
2007-01,0.349,
2007-04,0.339,
2007-07,0.391,
2007-10,0.424,
2008-01,0.429,
2008-04,0.398,
2008-07,0.325,
2008-10,0.269,
2009-01,0.248,
2009-04,0.277,
2009-07,0.346,
2009-10,0.469,
2010-01,0.586,
2010-04,0.642,
2010-07,0.617,
2010-10,0.557,
2011-01,0.434,
2011-04,0.335,
2011-07,0.298,
2011-10,0.298,
2012-01,0.315,
2012-04,0.321,
2012-07,0.349,
2012-10,0.344,
2013-01,0.390,
2013-04,0.373,
2013-07,0.339,
2013-10,0.313,
2014-01,0.249,
2014-04,0.264,
2014-07,0.267,
