"",BBDE1.M.DE.Y.AEN1.A2P320000.F.C.I10.A,BBDE1.M.DE.Y.AEN1.A2P320000.F.C.I10.A_FLAGS
"","Orders received excluding large orders, domestic / At constant prices / Germany / Capital goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:20:00,
2010-01,87.3,
2010-02,89.3,
2010-03,97.3,
2010-04,98.7,
2010-05,99.8,
2010-06,103.0,
2010-07,99.5,
2010-08,101.8,
2010-09,101.5,
2010-10,104.2,
2010-11,105.7,
2010-12,105.1,
2011-01,107.5,
2011-02,112.3,
2011-03,108.4,
2011-04,108.5,
2011-05,107.7,
2011-06,107.9,
2011-07,110.1,
2011-08,107.8,
2011-09,106.6,
2011-10,106.6,
2011-11,106.2,
2011-12,105.8,
2012-01,105.8,
2012-02,106.7,
2012-03,106.3,
2012-04,106.5,
2012-05,106.2,
2012-06,105.4,
2012-07,104.9,
2012-08,100.8,
2012-09,100.2,
2012-10,101.1,
2012-11,100.4,
2012-12,101.9,
2013-01,101.7,
2013-02,101.4,
2013-03,105.9,
2013-04,103.2,
2013-05,99.8,
2013-06,106.7,
2013-07,105.8,
2013-08,108.4,
2013-09,105.9,
2013-10,105.2,
2013-11,109.7,
2013-12,105.4,
2014-01,107.9,
2014-02,109.4,
2014-03,110.0,
2014-04,111.7,
2014-05,107.0,
2014-06,106.1,
2014-07,108.7,
2014-08,105.1,
2014-09,104.7,
2014-10,112.0,
2014-11,106.4,
2014-12,110.3,Provisional value
