"",BBK01.CEH3C0,BBK01.CEH3C0_FLAGS
"",Securities other than shares debtor: General government                      creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:13:33,
1991-01,17.5,
1991-04,5.3,
1991-07,7.7,
1991-10,12.3,
1992-01,14.3,
1992-04,5.8,
1992-07,17.4,
1992-10,36.8,
1993-01,19.4,
1993-04,12.7,
1993-07,14.4,
1993-10,19.8,
1994-01,23.8,
1994-04,0.0,
1994-07,9.6,
1994-10,8.7,
1995-01,86.5,
1995-04,1.1,
1995-07,5.2,
1995-10,3.0,
1996-01,3.2,
1996-04,10.5,
1996-07,12.4,
1996-10,9.1,
1997-01,13.2,
1997-04,17.3,
1997-07,-1.1,
1997-10,7.8,
1998-01,8.1,
1998-04,6.3,
1998-07,4.8,
1998-10,9.4,
1999-01,14.7,
1999-04,2.8,
1999-07,15.1,
1999-10,11.8,
2000-01,7.5,
2000-04,3.8,
2000-07,3.9,
2000-10,13.2,
2001-01,-19.3,
2001-04,7.5,
2001-07,17.4,
2001-10,16.3,
2002-01,15.0,
2002-04,22.8,
2002-07,24.0,
2002-10,4.3,
2003-01,33.0,
2003-04,12.0,
2003-07,7.7,
2003-10,19.9,
2004-01,33.8,
2004-04,15.0,
2004-07,15.8,
2004-10,4.9,
2005-01,17.1,
2005-04,21.5,
2005-07,14.1,
2005-10,17.4,
2006-01,12.0,
2006-04,19.8,
2006-07,10.9,
2006-10,10.3,
2007-01,-0.9,
2007-04,18.7,
2007-07,-11.7,
2007-10,24.5,
2008-01,-3.5,
2008-04,29.2,
2008-07,9.3,
2008-10,5.3,
2009-01,36.8,
2009-04,66.6,
2009-07,-1.5,
2009-10,16.0,
2010-01,24.4,
2010-04,18.1,
2010-07,22.1,
2010-10,31.1,
2011-01,22.3,
2011-04,34.1,
2011-07,14.7,
2011-10,-4.8,
2012-01,34.6,
2012-04,28.3,
2012-07,11.1,
2012-10,16.7,
2013-01,6.6,
2013-04,-5.8,
2013-07,-3.3,
2013-10,8.6,
2014-01,6.6,
