"",BBFN1.M.DE.N.1.A.ID.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.ID.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Indonesia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:55,
1982-09,0.052,
1982-10,0.054,
1982-11,0.056,
1982-12,0.052,
1983-01,0.057,
1983-02,0.053,
1983-03,0.037,
1983-04,0.039,
1983-05,0.042,
1983-06,0.041,
1983-07,0.051,
1983-08,0.048,
1983-09,0.050,
1983-10,0.043,
1983-11,0.047,
1983-12,0.045,
1984-01,0.043,
1984-02,0.044,
1984-03,0.044,
1984-04,0.044,
1984-05,0.051,
1984-06,0.046,
1984-07,0.044,
1984-08,0.048,
1984-09,0.050,
1984-10,0.047,
1984-11,0.050,
1984-12,0.049,
1985-01,0.047,
1985-02,0.047,
1985-03,0.047,
1985-04,0.046,
1985-05,0.056,
1985-06,0.055,
1985-07,0.054,
1985-08,0.054,
1985-09,0.055,
1985-10,0.057,
1985-11,0.056,
1985-12,0.055,
1986-01,0.055,
1986-02,0.054,
1986-03,0.054,
1986-04,0.053,
1986-05,0.053,
1986-06,0.057,
1986-07,0.055,
1986-08,0.054,
1986-09,0.055,
1986-10,0.054,
1986-11,0.054,
1986-12,0.048,
1987-01,0.047,
1987-02,0.047,
1987-03,0.038,
1987-04,0.038,
1987-05,0.038,
1987-06,0.038,
1987-07,0.038,
1987-08,0.039,
1987-09,0.035,
1987-10,0.033,
1987-11,0.037,
1987-12,0.038,
1988-01,0.040,
1988-02,0.040,
1988-03,0.041,
1988-04,0.041,
1988-05,0.042,
1988-06,0.041,
1988-07,0.041,
1988-08,0.042,
1988-09,0.042,
1988-10,0.044,
1988-11,0.043,
1988-12,0.046,
1989-01,0.039,
1989-02,0.038,
1989-03,0.038,
1989-04,0.039,
1989-05,0.038,
1989-06,0.036,
1989-07,0.037,
1989-08,0.033,
1989-09,0.037,
1989-10,0.032,
1989-11,0.032,
1989-12,0.033,
1990-01,0.031,
1990-02,0.033,
1990-03,0.032,
1990-04,0.034,
1990-05,0.033,
1990-06,0.030,
1990-07,0.031,
1990-08,0.034,
1990-09,0.033,
1990-10,0.042,
1990-11,0.042,
1990-12,0.063,
1991-01,0.060,
1991-02,0.062,
1991-03,0.063,
1991-04,0.064,
1991-05,0.062,
1991-06,0.063,
1991-07,0.071,
1991-08,0.076,
1991-09,0.067,
1991-10,0.081,
1991-11,0.084,
1991-12,0.070,
1992-01,0.075,
1992-02,0.076,
1992-03,0.075,
1992-04,0.076,
1992-05,0.074,
1992-06,0.073,
1992-07,0.077,
1992-08,0.077,
1992-09,0.077,
1992-10,0.077,
1992-11,0.079,
1992-12,0.100,
1993-01,0.100,
1993-02,0.104,
1993-03,0.105,
1993-04,0.107,
1993-05,0.137,
1993-06,0.108,
1993-07,0.108,
1993-08,0.116,
1993-09,0.109,
1993-10,0.106,
1993-11,0.106,
1993-12,0.109,
1994-01,0.111,
1994-02,0.118,
1994-03,0.123,
1994-04,0.126,
1994-05,0.126,
1994-06,0.131,
1994-07,0.138,
1994-08,0.142,
1994-09,0.143,
1994-10,0.140,
1994-11,0.122,
1994-12,0.113,
1995-01,0.110,
1995-02,0.117,
1995-03,0.116,
1995-04,0.128,
1995-05,0.135,
1995-06,0.134,
1995-07,0.121,
1995-08,0.130,
1995-09,0.127,
1995-10,0.116,
1995-11,0.116,
1995-12,0.120,
1996-01,0.134,
1996-02,0.129,
1996-03,0.138,
1996-04,0.134,
1996-05,0.133,
1996-06,0.124,
1996-07,0.124,
1996-08,0.122,
1996-09,0.140,
1996-10,0.126,
1996-11,0.126,
1996-12,0.140,
1997-01,0.150,
1997-02,0.156,
1997-03,0.164,
1997-04,0.183,
1997-05,0.183,
1997-06,0.183,
1997-07,0.187,
1997-08,0.188,
1997-09,0.160,
1997-10,0.176,
1997-11,0.157,
1997-12,0.156,
1998-01,0.184,
1998-02,0.203,
1998-03,0.190,
1998-04,0.193,
1998-05,0.182,
1998-06,0.190,
1998-07,0.192,
1998-08,0.186,
1998-09,0.191,
1998-10,0.187,
1998-11,0.199,
1998-12,0.179,
1999-01,0.179,
1999-02,0.188,
1999-03,0.204,
1999-04,0.224,
1999-05,0.212,
1999-06,0.215,
1999-07,0.203,
1999-08,0.197,
1999-09,0.193,
1999-10,0.189,
1999-11,0.191,
1999-12,0.192,
2000-01,0.198,
2000-02,0.201,
2000-03,0.208,
2000-04,0.217,
2000-05,0.211,
2000-06,0.198,
2000-07,0.191,
2000-08,0.214,
2000-09,0.200,
2000-10,0.200,
2000-11,0.210,
2000-12,0.212,
2001-01,0.243,
2001-02,0.208,
2001-03,0.211,
2001-04,0.220,
2001-05,0.220,
2001-06,0.249,
2001-07,0.208,
2001-08,0.202,
2001-09,0.225,
2001-10,0.224,
2001-11,0.229,
2001-12,0.234,
2002-01,0.233,
2002-02,0.238,
2002-03,0.225,
2002-04,0.215,
2002-05,0.224,
2002-06,0.213,
2002-07,0.210,
2002-08,0.201,
2002-09,0.221,
2002-10,0.221,
2002-11,0.228,
2002-12,0.230,
2003-01,0.222,
2003-02,0.280,
2003-03,0.203,
2003-04,0.203,
2003-05,0.205,
2003-06,0.206,
2003-07,0.195,
2003-08,0.194,
2003-09,0.181,
2003-10,0.252,
2003-11,0.176,
2003-12,0.164,
2004-01,0.172,
2004-02,0.165,
2004-03,0.161,
2004-04,0.168,
2004-05,0.169,
2004-06,0.161,
2004-07,0.148,
2004-08,0.150,
2004-09,0.153,
2004-10,0.156,
2004-11,0.146,
2004-12,0.121,
2005-01,0.123,
2005-02,0.158,
2005-03,0.157,
2005-04,0.161,
2005-05,0.154,
2005-06,0.165,
2005-07,0.167,
2005-08,0.174,
2005-09,0.166,
2005-10,0.166,
2005-11,0.165,
2005-12,0.181,
2006-01,0.193,
2006-02,0.192,
2006-03,0.184,
2006-04,0.214,
2006-05,0.229,
2006-06,0.186,
2006-07,0.225,
2006-08,0.234,
2006-09,0.238,
2006-10,0.238,
2006-11,0.225,
2006-12,0.238,
2007-01,0.238,
2007-02,0.239,
2007-03,0.226,
2007-04,0.245,
2007-05,0.267,
2007-06,0.274,
2007-07,0.294,
2007-08,0.396,
2007-09,0.320,
2007-10,0.316,
2007-11,0.318,
2007-12,0.375,
2008-01,0.361,
2008-02,0.365,
2008-03,0.353,
2008-04,0.366,
2008-05,0.372,
2008-06,0.371,
2008-07,0.229,
2008-08,0.235,
2008-09,0.252,
2008-10,0.246,
2008-11,0.261,
2008-12,0.236,
2009-01,0.229,
2009-02,0.242,
2009-03,0.244,
2009-04,0.247,
2009-05,0.241,
2009-06,0.254,
2009-07,0.256,
2009-08,0.253,
2009-09,0.386,
2009-10,0.251,
2009-11,0.241,
2009-12,0.255,
2010-01,0.259,
2010-02,0.221,
2010-03,0.254,
2010-04,0.253,
2010-05,0.378,
2010-06,0.413,
2010-07,0.403,
2010-08,0.405,
2010-09,0.392,
2010-10,0.402,
2010-11,0.420,
2010-12,0.346,
2011-01,0.359,
2011-02,0.373,
2011-03,0.354,
2011-04,0.399,
2011-05,0.418,
2011-06,0.423,
2011-07,0.434,
2011-08,0.428,
2011-09,0.457,
2011-10,0.463,
2011-11,0.556,
2011-12,0.562,
2012-01,0.563,
2012-02,0.536,
2012-03,0.546,
2012-04,0.556,
2012-05,0.608,
2012-06,0.608,
2012-07,0.586,
2012-08,0.586,
2012-09,0.578,
2012-10,0.582,
2012-11,0.595,
2012-12,0.600,
2013-01,0.596,
2013-02,0.642,
2013-03,0.697,
2013-04,0.716,
2013-05,0.759,
2013-06,0.747,
2013-07,0.717,
2013-08,0.716,
2013-09,0.785,
2013-10,0.670,
2013-11,0.683,
2013-12,0.672,
2014-01,0.675,
2014-02,0.676,
2014-03,0.682,
2014-04,0.680,
2014-05,0.697,
2014-06,0.705,
2014-07,0.688,
2014-08,0.711,
