"",BBK01.OEBB16P,BBK01.OEBB16P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:07,
2002-01,0.218,
2002-04,0.219,
2002-07,0.234,
2002-10,0.238,
2003-01,0.243,
2003-04,0.242,
2003-07,0.243,
2003-10,0.240,
2004-01,0.239,
2004-04,0.223,
2004-07,0.222,
2004-10,0.210,
2005-01,0.208,
2005-04,0.207,
2005-07,0.207,
2005-10,0.206,
2006-01,0.212,
2006-04,0.211,
2006-07,0.212,
2006-10,0.213,
2007-01,0.215,
2007-04,0.208,
2007-07,0.209,
2007-10,0.222,
2008-01,0.221,
2008-04,0.294,
2008-07,0.289,
2008-10,0.287,
2009-01,0.285,
2009-04,0.348,
2009-07,0.338,
2009-10,0.337,
2010-01,0.334,
2010-04,0.331,
2010-07,0.323,
2010-10,0.323,
2011-01,0.287,
2011-04,0.280,
2011-07,0.272,
2011-10,0.269,
2012-01,0.260,
2012-04,0.249,
2012-07,0.246,
2012-10,0.240,
2013-01,0.233,
2013-04,0.229,
2013-07,0.229,
2013-10,0.257,
2014-01,0.249,
2014-04,0.242,
2014-07,0.258,
