"",BBFN1.M.DE.N.1.A.W03100.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W03100.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on foreign banks arising from financial operations / Total / Emerging economies and developing countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:07:53,
1995-01,2.803,
1995-02,3.175,
1995-03,3.578,
1995-04,3.687,
1995-05,3.869,
1995-06,3.775,
1995-07,4.104,
1995-08,3.953,
1995-09,4.003,
1995-10,4.289,
1995-11,3.810,
1995-12,3.329,
1996-01,3.256,
1996-02,3.066,
1996-03,2.840,
1996-04,3.025,
1996-05,2.761,
1996-06,3.038,
1996-07,3.330,
1996-08,3.562,
1996-09,3.770,
1996-10,3.574,
1996-11,4.040,
1996-12,3.019,
1997-01,3.882,
1997-02,3.784,
1997-03,3.862,
1997-04,4.631,
1997-05,4.635,
1997-06,4.044,
1997-07,3.916,
1997-08,3.763,
1997-09,3.782,
1997-10,2.965,
1997-11,2.545,
1997-12,2.124,
1998-01,1.974,
1998-02,1.770,
1998-03,1.519,
1998-04,1.346,
1998-05,1.648,
1998-06,1.606,
1998-07,1.659,
1998-08,1.241,
1998-09,0.969,
1998-10,0.817,
1998-11,0.886,
1998-12,0.743,
1999-01,0.656,
1999-02,0.779,
1999-03,0.886,
1999-04,0.946,
1999-05,0.720,
1999-06,0.851,
1999-07,0.979,
1999-08,0.923,
1999-09,1.123,
1999-10,0.852,
1999-11,0.950,
1999-12,0.802,
2000-01,1.254,
2000-02,1.086,
2000-03,1.014,
2000-04,1.023,
2000-05,1.049,
2000-06,0.867,
2000-07,1.042,
2000-08,0.885,
2000-09,1.282,
2000-10,1.360,
2000-11,0.976,
2000-12,0.549,
2001-01,0.659,
2001-02,0.975,
2001-03,0.989,
2001-04,1.162,
2001-05,1.005,
2001-06,1.129,
2001-07,1.108,
2001-08,1.296,
2001-09,1.312,
2001-10,1.220,
2001-11,0.963,
2001-12,0.627,
2002-01,0.844,
2002-02,0.911,
2002-03,0.984,
2002-04,0.982,
2002-05,1.025,
2002-06,1.061,
2002-07,1.746,
2002-08,1.105,
2002-09,1.379,
2002-10,1.253,
2002-11,1.474,
2002-12,0.523,
2003-01,0.816,
2003-02,0.867,
2003-03,0.990,
2003-04,0.930,
2003-05,0.907,
2003-06,1.017,
2003-07,1.073,
2003-08,1.185,
2003-09,1.164,
2003-10,1.438,
2003-11,1.350,
2003-12,0.742,
2004-01,1.260,
2004-02,0.962,
2004-03,0.991,
2004-04,0.832,
2004-05,0.820,
2004-06,0.693,
2004-07,0.820,
2004-08,0.775,
2004-09,0.850,
2004-10,0.883,
2004-11,0.726,
2004-12,0.561,
2005-01,0.665,
2005-02,0.663,
2005-03,0.835,
2005-04,1.237,
2005-05,1.044,
2005-06,1.101,
2005-07,1.145,
2005-08,1.173,
2005-09,1.193,
2005-10,1.009,
2005-11,1.255,
2005-12,0.753,
2006-01,0.737,
2006-02,0.730,
2006-03,0.784,
2006-04,0.822,
2006-05,0.828,
2006-06,0.812,
2006-07,0.941,
2006-08,1.289,
2006-09,1.250,
2006-10,1.789,
2006-11,1.768,
2006-12,1.790,
2007-01,1.574,
2007-02,1.987,
2007-03,1.630,
2007-04,1.814,
2007-05,2.205,
2007-06,2.141,
2007-07,2.048,
2007-08,2.153,
2007-09,2.239,
2007-10,2.209,
2007-11,2.859,
2007-12,1.352,
2008-01,1.309,
2008-02,1.301,
2008-03,1.368,
2008-04,1.577,
2008-05,1.779,
2008-06,1.163,
2008-07,1.218,
2008-08,1.272,
2008-09,1.300,
2008-10,1.476,
2008-11,1.310,
2008-12,1.098,
2009-01,0.689,
2009-02,0.721,
2009-03,0.746,
2009-04,0.562,
2009-05,0.561,
2009-06,0.697,
2009-07,0.632,
2009-08,0.572,
2009-09,0.869,
2009-10,0.599,
2009-11,0.522,
2009-12,0.541,
2010-01,0.469,
2010-02,0.417,
2010-03,0.464,
2010-04,0.440,
2010-05,0.498,
2010-06,0.547,
2010-07,0.590,
2010-08,0.641,
2010-09,0.578,
2010-10,0.585,
2010-11,0.556,
2010-12,0.618,
2011-01,0.628,
2011-02,0.598,
2011-03,0.912,
2011-04,0.695,
2011-05,0.705,
2011-06,0.806,
2011-07,0.838,
2011-08,0.866,
2011-09,0.705,
2011-10,0.815,
2011-11,1.417,
2011-12,1.575,
2012-01,1.486,
2012-02,1.370,
2012-03,1.345,
2012-04,1.674,
2012-05,1.640,
2012-06,1.720,
2012-07,2.454,
2012-08,2.251,
2012-09,2.087,
2012-10,2.433,
2012-11,2.249,
2012-12,1.856,
2013-01,1.446,
2013-02,1.372,
2013-03,1.407,
2013-04,1.493,
2013-05,1.596,
2013-06,1.822,
2013-07,1.455,
2013-08,1.410,
2013-09,1.499,
2013-10,2.131,
2013-11,2.503,
2013-12,1.464,
2014-01,1.413,
2014-02,1.398,
2014-03,2.327,
2014-04,2.553,
2014-05,2.512,
2014-06,2.988,
2014-07,3.122,
2014-08,3.260,
2014-09,2.704,
2014-10,2.575,
2014-11,2.655,
2014-12,2.501,
"","General: All countries that are not regarded as industrial countries. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
