"",BBK01.OEAN06V,BBK01.OEAN06V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:23,
2002-01,4.062,
2002-04,3.979,
2002-07,4.022,
2002-10,4.024,
2003-01,3.834,
2003-04,3.490,
2003-07,3.235,
2003-10,3.211,
2004-01,3.012,
2004-04,2.758,
2004-07,2.768,
2004-10,3.011,
2005-01,3.227,
2005-04,3.271,
2005-07,3.112,
2005-10,3.091,
2006-01,3.060,
2006-04,3.232,
2006-07,3.360,
2006-10,3.661,
2007-01,3.925,
2007-04,3.948,
2007-07,4.249,
2007-10,4.514,
2008-01,4.434,
2008-04,4.330,
2008-07,4.325,
2008-10,4.823,
2009-01,4.721,
2009-04,4.695,
2009-07,4.503,
2009-10,4.367,
2010-01,4.161,
2010-04,3.986,
2010-07,3.683,
2010-10,3.599,
2011-01,3.682,
2011-04,3.624,
2011-07,3.504,
2011-10,3.345,
2012-01,3.178,
2012-04,3.056,
2012-07,2.880,
2012-10,2.624,
2013-01,2.357,
2013-04,2.060,
2013-07,1.873,
2013-10,1.800,
2014-01,1.742,
2014-04,1.731,
2014-07,1.850,
