"",BBFB1.M.N.DE.W1.S1.S1.T.C.D41.P.F3.S._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.D41.P.F3.S._T._X.N_FLAGS
2013-02,6.848,
2013-03,6.960,
2013-04,6.768,
2013-05,7.266,
2013-06,6.868,
2013-07,7.215,
2013-08,7.677,
2013-09,7.033,
2013-10,7.682,
2013-11,8.071,
2013-12,7.328,
2014-01,7.601,
2014-02,8.300,Provisional value
2014-03,9.461,Provisional value
2014-04,10.038,Provisional value
2014-05,11.082,Provisional value
2014-06,10.153,Provisional value
2014-07,9.889,Provisional value
2014-08,9.248,Provisional value
2014-09,7.829,
2014-10,6.605,
2014-11,5.582,
2014-12,4.961,Provisional value
