"",BBK01.OEBB21H,BBK01.OEBB21H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:48,
2002-01,15.694,
2002-04,15.566,
2002-07,14.601,
2002-10,14.936,
2003-01,14.213,
2003-04,14.114,
2003-07,14.255,
2003-10,15.127,
2004-01,10.920,
2004-04,10.565,
2004-07,10.617,
2004-10,10.074,
2005-01,10.430,
2005-04,10.228,
2005-07,10.157,
2005-10,9.462,
2006-01,9.009,
2006-04,8.720,
2006-07,8.905,
2006-10,8.728,
2007-01,8.608,
2007-04,8.862,
2007-07,8.466,
2007-10,8.643,
2008-01,8.424,
2008-04,8.528,
2008-07,9.013,
2008-10,8.419,
2009-01,8.474,
2009-04,7.102,
2009-07,6.911,
2009-10,6.195,
2010-01,5.659,
2010-04,5.605,
2010-07,5.245,
2010-10,5.110,
2011-01,5.488,
2011-04,5.842,
2011-07,7.061,
2011-10,10.617,
2012-01,7.880,
2012-04,6.811,
2012-07,6.660,
2012-10,5.019,
2013-01,5.168,
2013-04,5.111,
2013-07,4.941,
2013-10,4.679,
2014-01,2.962,
2014-04,2.850,
2014-07,2.976,
