"",BBSF2.M.1.S.I0011.TOT01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0011.TOT01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Sales receipts / Non-financial corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:48,
2009-09,975,
2009-10,2997,
2009-11,1198,
2009-12,3237,
2010-01,938,
2010-02,839,
2010-03,2746,
2010-04,1305,
2010-05,999,
2010-06,1109,
2010-07,1419,
2010-08,4179,
2010-09,2200,
2010-10,1808,
2010-11,1884,
2010-12,1735,
2011-01,2296,
2011-02,2410,
2011-03,1382,
2011-04,3053,
2011-05,1336,
2011-06,1700,
2011-07,635,
2011-08,1551,
2011-09,1959,
2011-10,1464,
2011-11,2370,
2011-12,3751,
2012-01,1397,
2012-02,6496,
2012-03,2508,
2012-04,983,
2012-05,680,
2012-06,1974,
2012-07,2532,
2012-08,1486,
2012-09,1394,
2012-10,1894,
2012-11,4663,
2012-12,3602,
2013-01,914,
2013-02,2503,
2013-03,2441,
2013-04,1826,
2013-05,1576,
2013-06,2075,
2013-07,1607,
2013-08,1033,
2013-09,2588,
2013-10,1767,
2013-11,2045,
2013-12,2916,
2014-01,1219,
2014-02,2902,
2014-03,2707,
2014-04,652,
2014-05,1958,
2014-06,2789,
2014-07,766,
2014-08,657,
2014-09,1985,
2014-10,7141,
2014-11,1786,
