"",BBK01.OEAM01P,BBK01.OEAM01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:12,
2002-01,0.660,
2002-04,0.646,
2002-07,0.607,
2002-10,0.522,
2003-01,0.390,
2003-04,0.460,
2003-07,0.498,
2003-10,0.515,
2004-01,0.369,
2004-04,0.318,
2004-07,0.382,
2004-10,0.484,
2005-01,0.413,
2005-04,0.415,
2005-07,0.410,
2005-10,0.507,
2006-01,0.384,
2006-04,0.405,
2006-07,0.509,
2006-10,0.658,
2007-01,0.559,
2007-04,0.566,
2007-07,0.598,
2007-10,0.801,
2008-01,0.622,
2008-04,0.597,
2008-07,0.600,
2008-10,0.760,
2009-01,0.655,
2009-04,0.755,
2009-07,0.741,
2009-10,0.893,
2010-01,0.656,
2010-04,0.704,
2010-07,0.756,
2010-10,1.038,
2011-01,0.782,
2011-04,0.693,
2011-07,1.063,
2011-10,1.053,
2012-01,1.347,
2012-04,1.056,
2012-07,1.127,
2012-10,1.377,
2013-01,1.847,
2013-04,1.604,
2013-07,1.309,
2013-10,1.380,
2014-01,1.032,
2014-04,1.155,
2014-07,1.223,
