"",BBK01.OEYM03J,BBK01.OEYM03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:44,
2002-01,0.294,
2002-04,0.233,
2002-07,0.278,
2002-10,0.286,
2003-01,0.285,
2003-04,0.415,
2003-07,0.224,
2003-10,0.265,
2004-01,0.389,
2004-04,0.432,
2004-07,0.675,
2004-10,0.421,
2005-01,0.740,
2005-04,0.791,
2005-07,0.868,
2005-10,1.121,
2006-01,0.838,
2006-04,1.021,
2006-07,1.030,
2006-10,0.821,
2007-01,0.656,
2007-04,0.623,
2007-07,0.823,
2007-10,0.651,
2008-01,0.458,
2008-04,0.751,
2008-07,0.855,
2008-10,0.647,
2009-01,0.499,
2009-04,0.483,
2009-07,0.612,
2009-10,0.696,
2010-01,0.929,
2010-04,1.266,
2010-07,1.137,
2010-10,0.988,
2011-01,0.915,
2011-04,1.103,
2011-07,0.827,
2011-10,1.137,
2012-01,1.373,
2012-04,1.155,
2012-07,0.914,
2012-10,1.097,
2013-01,1.279,
2013-04,1.141,
2013-07,1.069,
2013-10,1.175,
2014-01,1.130,
2014-04,1.088,
2014-07,1.026,
