"",BBK01.OEXB22I,BBK01.OEXB22I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:16,
2002-01,0.234,
2002-04,0.040,
2002-07,0.059,
2002-10,0.081,
2003-01,0.018,
2003-04,0.018,
2003-07,0.820,
2003-10,0.093,
2004-01,1.035,
2004-04,0.029,
2004-07,0.023,
2004-10,0.026,
2005-01,0.028,
2005-04,0.035,
2005-07,0.058,
2005-10,0.051,
2006-01,0.037,
2006-04,0.145,
2006-07,0.090,
2006-10,0.107,
2007-01,0.042,
2007-04,0.044,
2007-07,0.077,
2007-10,0.092,
2008-01,0.067,
2008-04,0.147,
2008-07,0.186,
2008-10,0.090,
2009-01,0.115,
2009-04,0.108,
2009-07,0.150,
2009-10,0.223,
2010-01,0.229,
2010-04,0.238,
2010-07,0.272,
2010-10,0.228,
2011-01,0.189,
2011-04,0.182,
2011-07,0.176,
2011-10,0.226,
2012-01,0.134,
2012-04,0.177,
2012-07,0.171,
2012-10,0.248,
2013-01,0.865,
2013-04,0.843,
2013-07,0.748,
2013-10,0.820,
2014-01,0.994,
2014-04,0.929,
2014-07,0.832,
