"",BBK01.OEAC03Q,BBK01.OEAC03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:46,
2002-01,2.802,
2002-04,2.971,
2002-07,3.086,
2002-10,3.397,
2003-01,3.471,
2003-04,3.567,
2003-07,3.620,
2003-10,3.906,
2004-01,3.895,
2004-04,3.391,
2004-07,3.355,
2004-10,3.392,
2005-01,3.378,
2005-04,3.322,
2005-07,3.288,
2005-10,3.233,
2006-01,3.143,
2006-04,3.202,
2006-07,3.122,
2006-10,3.179,
2007-01,4.161,
2007-04,4.194,
2007-07,4.318,
2007-10,4.409,
2008-01,2.988,
2008-04,3.026,
2008-07,2.991,
2008-10,3.085,
2009-01,3.334,
2009-04,3.345,
2009-07,3.400,
2009-10,4.063,
2010-01,3.987,
2010-04,4.173,
2010-07,4.032,
2010-10,4.161,
2011-01,4.045,
2011-04,4.108,
2011-07,3.978,
2011-10,4.208,
2012-01,4.215,
2012-04,4.364,
2012-07,4.449,
2012-10,4.623,
2013-01,4.614,
2013-04,4.422,
2013-07,4.471,
2013-10,4.886,
2014-01,4.985,
2014-04,5.070,
2014-07,5.270,
