"",BBK01.OEHL01Q,BBK01.OEHL01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:30,
2002-01,13.228,
2002-04,13.127,
2002-07,13.020,
2002-10,13.252,
2003-01,13.241,
2003-04,13.203,
2003-07,13.105,
2003-10,13.213,
2004-01,13.132,
2004-04,13.123,
2004-07,13.011,
2004-10,13.236,
2005-01,13.190,
2005-04,13.252,
2005-07,13.301,
2005-10,13.478,
2006-01,13.556,
2006-04,13.542,
2006-07,13.475,
2006-10,13.580,
2007-01,13.538,
2007-04,13.560,
2007-07,13.504,
2007-10,13.740,
2008-01,13.762,
2008-04,13.750,
2008-07,13.795,
2008-10,14.374,
2009-01,14.673,
2009-04,14.695,
2009-07,14.737,
2009-10,14.920,
2010-01,14.961,
2010-04,14.944,
2010-07,15.025,
2010-10,15.172,
2011-01,15.135,
2011-04,15.213,
2011-07,15.246,
2011-10,15.543,
2012-01,15.623,
2012-04,15.773,
2012-07,15.819,
2012-10,15.997,
2013-01,15.992,
2013-04,16.346,
2013-07,16.282,
2013-10,16.497,
2014-01,16.586,
2014-04,16.602,
2014-07,16.503,
