"",BBK01.OEBO05N,BBK01.OEBO05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:18,
2002-01,0.089,
2002-04,0.056,
2002-07,0.060,
2002-10,0.750,
2003-01,0.054,
2003-04,0.056,
2003-07,0.050,
2003-10,0.804,
2004-01,0.038,
2004-04,0.034,
2004-07,0.040,
2004-10,0.191,
2005-01,0.026,
2005-04,0.023,
2005-07,0.010,
2005-10,0.298,
2006-01,-0.040,
2006-04,0.015,
2006-07,0.010,
2006-10,0.278,
2007-01,0.015,
2007-04,0.019,
2007-07,0.019,
2007-10,0.359,
2008-01,0.065,
2008-04,0.046,
2008-07,0.037,
2008-10,0.424,
2009-01,0.076,
2009-04,0.054,
2009-07,0.049,
2009-10,0.448,
2010-01,0.076,
2010-04,0.032,
2010-07,0.049,
2010-10,0.225,
2011-01,0.021,
2011-04,0.023,
2011-07,0.039,
2011-10,0.130,
2012-01,0.042,
2012-04,0.026,
2012-07,0.043,
2012-10,0.198,
2013-01,0.058,
2013-04,0.027,
2013-07,0.018,
2013-10,0.099,
2014-01,0.012,
2014-04,0.009,
2014-07,0.011,
