"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.SE.00000.F05100.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.SE.00000.F05100.Z01.00_FLAGS
"",Special investors funds / Funds total / Shares / Sweden,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:43,
2009-09,765,
2009-10,793,
2009-11,797,
2009-12,849,
2010-01,872,
2010-02,938,
2010-03,1015,
2010-04,1018,
2010-05,973,
2010-06,1024,
2010-07,1079,
2010-08,1041,
2010-09,1211,
2010-10,1207,
2010-11,1263,
2010-12,1370,
2011-01,1377,
2011-02,1368,
2011-03,1390,
2011-04,1399,
2011-05,1385,
2011-06,1290,
2011-07,1236,
2011-08,1107,
2011-09,1063,
2011-10,1231,
2011-11,1201,
2011-12,1269,
2012-01,1330,
2012-02,1419,
2012-03,1443,
2012-04,1398,
2012-05,1282,
2012-06,1365,
2012-07,1535,
2012-08,1482,
2012-09,1499,
2012-10,1452,
2012-11,1489,
2012-12,1593,
2013-01,1636,
2013-02,1751,
2013-03,1729,
2013-04,1741,
2013-05,1812,
2013-06,1698,
2013-07,1832,
2013-08,1769,
2013-09,1837,
2013-10,1835,
2013-11,1859,
2013-12,1924,
2014-01,1940,
2014-02,2105,
2014-03,2127,
2014-04,2133,
2014-05,2207,
2014-06,2152,
2014-07,2177,
2014-08,2223,
2014-09,2264,
2014-10,2285,
2014-11,2358,
