"",BBFN1.M.DE.N.1.L.U3.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.U3.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis foreign banks arising from financial operations / Total / Other EU member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:13:44,
1995-01,.,No value available
1995-02,.,No value available
1995-03,9.190,
1995-04,8.414,
1995-05,8.267,
1995-06,8.379,
1995-07,8.434,
1995-08,.,No value available
1995-09,.,No value available
1995-10,.,No value available
1995-11,.,No value available
1995-12,.,No value available
1996-01,.,No value available
1996-02,.,No value available
1996-03,.,No value available
1996-04,.,No value available
1996-05,8.131,
1996-06,.,No value available
1996-07,.,No value available
1996-08,.,No value available
1996-09,8.253,
1996-10,8.409,
1996-11,6.908,
1996-12,5.643,
1997-01,6.891,
1997-02,7.234,
1997-03,.,No value available
1997-04,7.691,
1997-05,7.625,
1997-06,7.494,
1997-07,8.071,
1997-08,6.931,
1997-09,6.565,
1997-10,7.606,
1997-11,7.224,
1997-12,6.489,
1998-01,6.938,
1998-02,6.675,
1998-03,7.371,
1998-04,.,No value available
1998-05,6.730,
1998-06,.,No value available
1998-07,6.339,
1998-08,6.646,
1998-09,5.827,
1998-10,6.618,
1998-11,6.660,
1998-12,7.026,
1999-01,6.164,
1999-02,5.685,
1999-03,6.461,
1999-04,7.085,
1999-05,6.778,
1999-06,7.344,
1999-07,7.775,
1999-08,7.632,
1999-09,7.288,
1999-10,7.641,
1999-11,7.751,
1999-12,8.126,
2000-01,9.805,
2000-02,15.395,
2000-03,15.065,
2000-04,16.086,
2000-05,20.111,
2000-06,13.083,
2000-07,10.110,
2000-08,9.349,
2000-09,9.073,
2000-10,7.398,
2000-11,7.575,
2000-12,6.610,
2001-01,7.716,
2001-02,6.722,
2001-03,6.588,
2001-04,7.922,
2001-05,11.859,
2001-06,8.650,
2001-07,10.468,
2001-08,9.233,
2001-09,8.585,
2001-10,7.957,
2001-11,7.918,
2001-12,6.551,
2002-01,7.129,
2002-02,8.156,
2002-03,10.703,
2002-04,8.796,
2002-05,7.903,
2002-06,6.420,
2002-07,6.065,
2002-08,6.191,
2002-09,5.479,
2002-10,5.595,
2002-11,5.987,
2002-12,4.341,
2003-01,4.503,
2003-02,4.225,
2003-03,6.710,
2003-04,8.350,
2003-05,6.583,
2003-06,6.411,
2003-07,6.389,
2003-08,5.644,
2003-09,5.343,
2003-10,5.144,
2003-11,5.067,
2003-12,7.610,
2004-01,7.294,
2004-02,7.122,
2004-03,4.619,
2004-04,4.480,
2004-05,4.315,
2004-06,3.102,
2004-07,3.052,
2004-08,2.895,
2004-09,2.852,
2004-10,2.843,
2004-11,2.750,
2004-12,2.476,
2005-01,3.375,
2005-02,3.571,
2005-03,3.494,
2005-04,3.588,
2005-05,3.020,
2005-06,3.097,
2005-07,3.884,
2005-08,6.499,
2005-09,7.929,
2005-10,8.010,
2005-11,8.233,
2005-12,8.194,
2006-01,9.471,
2006-02,12.021,
2006-03,11.978,
2006-04,11.743,
2006-05,10.454,
2006-06,13.567,
2006-07,13.253,
2006-08,11.025,
2006-09,12.617,
2006-10,12.256,
2006-11,12.441,
2006-12,12.099,
2007-01,10.030,
2007-02,14.367,
2007-03,11.780,
2007-04,11.756,
2007-05,12.769,
2007-06,12.149,
2007-07,12.620,
2007-08,11.572,
2007-09,11.176,
2007-10,14.259,
2007-11,12.817,
2007-12,12.188,
2008-01,20.266,
2008-02,18.699,
2008-03,14.804,
2008-04,15.402,
2008-05,16.775,
2008-06,13.059,
2008-07,12.717,
2008-08,13.603,
2008-09,15.199,
2008-10,20.053,
2008-11,17.434,
2008-12,15.952,
2009-01,20.337,
2009-02,16.693,
2009-03,17.300,
2009-04,17.343,
2009-05,14.203,
2009-06,13.572,
2009-07,11.884,
2009-08,11.702,
2009-09,11.100,
2009-10,11.417,
2009-11,11.191,
2009-12,12.414,
2010-01,10.414,
2010-02,9.263,
2010-03,10.342,
2010-04,11.066,
2010-05,12.526,
2010-06,12.341,
2010-07,16.918,
2010-08,14.999,
2010-09,14.924,
2010-10,17.676,
2010-11,15.083,
2010-12,12.839,
2011-01,16.738,
2011-02,13.930,
2011-03,12.510,
2011-04,14.915,
2011-05,14.078,
2011-06,16.243,
2011-07,14.708,
2011-08,19.908,
2011-09,23.240,
2011-10,18.628,
2011-11,21.642,
2011-12,23.580,
2012-01,21.052,
2012-02,20.143,
2012-03,32.940,
2012-04,32.772,
2012-05,30.991,
2012-06,32.146,
2012-07,33.753,
2012-08,29.159,
2012-09,24.133,
2012-10,24.573,
2012-11,23.602,
2012-12,23.179,
2013-01,27.914,
2013-02,25.682,
2013-03,23.642,
2013-04,26.305,
2013-05,20.345,
2013-06,23.096,
2013-07,21.957,
2013-08,12.611,
2013-09,15.448,
2013-10,9.107,
2013-11,9.076,
2013-12,8.986,
2014-01,11.149,
2014-02,9.252,
2014-03,12.073,
2014-04,9.811,
2014-05,13.952,
2014-06,12.114,
2014-07,10.194,
2014-08,12.184,
2014-09,14.030,
2014-10,13.422,
2014-11,11.878,
2014-12,10.804,
"","General: Up to December 2000, including Greece; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; up to December 2006, including Slovenia; from January 2007 including Bulgaria and Romania; up to December 2007, including Cyprus and Malta; up to December 2008, including Slovakia; up to December 2010, including Estonia.",
