"",BBK01.OECL02U,BBK01.OECL02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:30,
2002-01,0.436,
2002-04,0.554,
2002-07,0.546,
2002-10,0.570,
2003-01,0.540,
2003-04,0.526,
2003-07,0.508,
2003-10,0.542,
2004-01,0.518,
2004-04,0.527,
2004-07,0.509,
2004-10,0.516,
2005-01,0.692,
2005-04,0.684,
2005-07,0.679,
2005-10,0.734,
2006-01,0.725,
2006-04,0.721,
2006-07,0.682,
2006-10,0.700,
2007-01,0.702,
2007-04,0.748,
2007-07,0.781,
2007-10,0.823,
2008-01,0.796,
2008-04,0.802,
2008-07,0.832,
2008-10,0.990,
2009-01,1.030,
2009-04,0.989,
2009-07,0.999,
2009-10,0.991,
2010-01,1.046,
2010-04,1.045,
2010-07,1.069,
2010-10,1.133,
2011-01,1.104,
2011-04,1.111,
2011-07,1.157,
2011-10,1.193,
2012-01,1.171,
2012-04,1.252,
2012-07,1.292,
2012-10,1.384,
2013-01,1.366,
2013-04,1.392,
2013-07,1.387,
2013-10,1.416,
2014-01,1.410,
2014-04,1.434,
2014-07,1.472,
