"",BBFB1.Q.N.DE.IT.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.IT.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / Italy,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:53,
1991-01,538.284,
1991-04,595.790,
1991-07,118.535,
1991-10,788.279,
1992-01,1329.568,
1992-04,1062.815,
1992-07,773.627,
1992-10,248.602,
1993-01,447.899,
1993-04,513.343,
1993-07,-437.362,
1993-10,-128.564,
1994-01,548.437,
1994-04,581.389,
1994-07,-336.770,
1994-10,143.686,
1995-01,437.154,
1995-04,280.294,
1995-07,-159.492,
1995-10,680.753,
1996-01,836.186,
1996-04,419.365,
1996-07,170.423,
1996-10,216.903,
1997-01,695.958,
1997-04,970.549,
1997-07,153.950,
1997-10,1056.922,
1998-01,1238.386,
1998-04,1377.117,
1998-07,648.037,
1998-10,955.922,
1999-01,1591.061,
1999-04,1842.739,
1999-07,1151.855,
1999-10,2443.840,
2000-01,2803.589,
2000-04,3046.029,
2000-07,2571.663,
2000-10,3357.332,
2001-01,4402.962,
2001-04,3306.583,
2001-07,3275.671,
2001-10,3570.860,
2002-01,3922.563,
2002-04,4222.100,
2002-07,3338.919,
2002-10,3712.832,
2003-01,4116.282,
2003-04,3738.784,
2003-07,3135.056,
2003-10,4508.160,
2004-01,4871.132,
2004-04,4841.747,
2004-07,3719.078,
2004-10,4191.723,
2005-01,5133.948,
2005-04,5033.800,
2005-07,4271.038,
2005-10,5347.597,
2006-01,5875.139,
2006-04,5503.840,
2006-07,4148.118,
2006-10,4628.188,
2007-01,6017.367,
2007-04,6030.165,
2007-07,4793.306,
2007-10,5652.230,
2008-01,4826.279,
2008-04,4845.038,
2008-07,3540.479,
2008-10,3787.918,
2009-01,3555.702,
2009-04,3771.863,
2009-07,3900.513,
2009-10,4497.517,
2010-01,4638.722,
2010-04,4837.786,
2010-07,4145.081,
2010-10,5689.405,
2011-01,5433.839,
2011-04,4648.878,
2011-07,3684.953,
2011-10,3461.172,
2012-01,3016.586,
2012-04,2817.205,
2012-07,1314.451,
2012-10,2004.487,
2013-01,2982.202,
2013-04,2551.060,
2013-07,1743.668,
2013-10,1991.267,
2014-01,2440.249,Provisional value
2014-04,2297.907,Provisional value
2014-07,2144.415,Provisional value
