"",BBDE1.Q.DE.Y.LCB1.A2N100000.A.L.I08.A1,BBDE1.Q.DE.Y.LCB1.A2N100000.A.L.I08.A1_FLAGS
"","Index of gross wages and salaries / Germany / Mining and quarrying, manufacturing and service activities (B-S) / Calendar and seasonally adjusted",
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:14,
1996-01,78.234,
1996-04,78.591,
1996-07,79.277,
1996-10,80.930,
1997-01,81.064,
1997-04,79.619,
1997-07,80.044,
1997-10,81.251,
1998-01,81.090,
1998-04,81.594,
1998-07,81.862,
1998-10,82.075,
1999-01,82.620,
1999-04,83.684,
1999-07,84.158,
1999-10,83.903,
2000-01,84.232,
2000-04,85.625,
2000-07,86.637,
2000-10,86.931,
2001-01,87.048,
2001-04,87.761,
2001-07,88.427,
2001-10,89.259,
2002-01,89.527,
2002-04,89.373,
2002-07,90.420,
2002-10,91.371,
2003-01,91.895,
2003-04,91.923,
2003-07,92.404,
2003-10,92.448,
2004-01,93.235,
2004-04,93.126,
2004-07,92.922,
2004-10,93.049,
2005-01,94.412,
2005-04,93.183,
2005-07,94.131,
2005-10,94.358,
2006-01,94.550,
2006-04,95.396,
2006-07,95.873,
2006-10,95.955,
2007-01,95.556,
2007-04,96.983,
2007-07,97.594,
2007-10,98.565,
2008-01,99.972,
2008-04,98.227,
2008-07,99.675,
2008-10,102.126,
2009-01,102.848,
2009-04,102.490,
2009-07,102.758,
2009-10,101.907,
2010-01,103.426,
2010-04,102.631,
2010-07,103.046,
2010-10,103.102,
2011-01,104.825,
2011-04,106.013,
2011-07,106.243,
2011-10,106.794,
2012-01,107.333,
2012-04,109.912,
2012-07,110.225,
2012-10,111.116,
2013-01,110.977,
2013-04,111.433,
2013-07,111.062,
2013-10,112.458,
2014-01,112.395,
2014-04,113.133,
2014-07,113.327,
