"",BBK01.OEYB12S,BBK01.OEYB12S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:33,
2002-01,2.102,
2002-04,2.127,
2002-07,2.130,
2002-10,2.136,
2003-01,2.127,
2003-04,2.124,
2003-07,2.122,
2003-10,2.130,
2004-01,2.116,
2004-04,2.134,
2004-07,2.139,
2004-10,0.740,
2005-01,0.709,
2005-04,0.726,
2005-07,0.699,
2005-10,0.701,
2006-01,0.697,
2006-04,0.706,
2006-07,0.710,
2006-10,0.728,
2007-01,0.720,
2007-04,0.710,
2007-07,0.720,
2007-10,0.729,
2008-01,0.746,
2008-04,0.752,
2008-07,0.748,
2008-10,0.745,
2009-01,0.740,
2009-04,0.723,
2009-07,0.719,
2009-10,0.729,
2010-01,0.716,
2010-04,0.736,
2010-07,0.786,
2010-10,0.849,
2011-01,0.858,
2011-04,0.897,
2011-07,0.932,
2011-10,0.984,
2012-01,1.034,
2012-04,1.164,
2012-07,1.222,
2012-10,1.279,
2013-01,1.311,
2013-04,1.334,
2013-07,1.357,
2013-10,1.439,
2014-01,1.430,
2014-04,1.463,
2014-07,1.498,
