"",BBK01.OELO02S,BBK01.OELO02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:36,
2002-01,0.115,
2002-04,0.160,
2002-07,0.173,
2002-10,0.193,
2003-01,0.201,
2003-04,0.136,
2003-07,0.155,
2003-10,0.179,
2004-01,0.195,
2004-04,0.134,
2004-07,0.136,
2004-10,0.143,
2005-01,0.153,
2005-04,0.123,
2005-07,0.125,
2005-10,0.129,
2006-01,0.150,
2006-04,0.127,
2006-07,0.138,
2006-10,0.148,
2007-01,0.168,
2007-04,0.126,
2007-07,0.146,
2007-10,0.142,
2008-01,0.174,
2008-04,0.131,
2008-07,0.141,
2008-10,0.174,
2009-01,0.179,
2009-04,0.163,
2009-07,0.155,
2009-10,0.184,
2010-01,0.188,
2010-04,0.116,
2010-07,0.112,
2010-10,0.142,
2011-01,0.130,
2011-04,0.112,
2011-07,0.122,
2011-10,0.129,
2012-01,0.129,
2012-04,0.112,
2012-07,0.117,
2012-10,0.137,
2013-01,0.139,
2013-04,0.111,
2013-07,0.109,
2013-10,0.118,
2014-01,0.139,
2014-04,0.119,
2014-07,0.104,
