"",BBK01.CEBQ20,BBK01.CEBQ20_FLAGS
"",short-term time deposits debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:37,
1991-01,557.9,
1991-04,563.8,
1991-07,570.9,
1991-10,603.9,
1992-01,573.8,
1992-04,569.8,
1992-07,602.0,
1992-10,584.5,
1993-01,573.4,
1993-04,575.8,
1993-07,563.0,
1993-10,600.8,
1994-01,592.8,
1994-04,570.8,
1994-07,562.1,
1994-10,562.6,
1995-01,558.4,
1995-04,541.7,
1995-07,539.8,
1995-10,553.1,
1996-01,564.1,
1996-04,534.4,
1996-07,530.9,
1996-10,544.7,
1997-01,551.2,
1997-04,570.3,
1997-07,566.8,
1997-10,609.5,
1998-01,604.5,
1998-04,614.0,
1998-07,627.0,
1998-10,677.3,
1999-01,806.9,
1999-04,818.8,
1999-07,858.5,
1999-10,938.3,
2000-01,927.9,
2000-04,911.6,
2000-07,943.3,
2000-10,1057.2,
2001-01,1100.2,
2001-04,1079.7,
2001-07,1071.2,
2001-10,1124.3,
2002-01,1044.5,
2002-04,1008.8,
2002-07,1034.5,
2002-10,1108.6,
2003-01,1065.4,
2003-04,1064.7,
2003-07,1040.5,
2003-10,1094.0,
2004-01,1038.1,
2004-04,1050.4,
2004-07,1058.4,
2004-10,1166.6,
2005-01,1095.8,
2005-04,1107.8,
2005-07,1144.9,
2005-10,1199.0,
2006-01,1219.9,
2006-04,1219.5,
2006-07,1224.2,
2006-10,1276.1,
2007-01,1312.0,
2007-04,1313.2,
2007-07,1422.5,
2007-10,1618.1,
2008-01,1559.2,
2008-04,1577.7,
2008-07,1702.3,
2008-10,1674.2,
2009-01,1415.5,
2009-04,1431.6,
2009-07,1262.2,
2009-10,1207.6,
2010-01,1134.8,
2010-04,1186.3,
2010-07,1070.3,
2010-10,1098.6,
2011-01,1002.1,
2011-04,967.7,
2011-07,1036.3,
2011-10,1031.0,
2012-01,1090.3,
2012-04,1066.7,
2012-07,996.2,
2012-10,878.8,
2013-01,891.0,
2013-04,870.7,
2013-07,874.3,
2013-10,884.6,
2014-01,873.2,
