"",BBK01.OEYB17V,BBK01.OEYB17V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:43:06,
2002-01,5.019,
2002-04,5.070,
2002-07,5.076,
2002-10,5.119,
2003-01,5.063,
2003-04,5.084,
2003-07,5.099,
2003-10,5.056,
2004-01,4.985,
2004-04,4.938,
2004-07,4.985,
2004-10,4.985,
2005-01,4.933,
2005-04,4.911,
2005-07,4.992,
2005-10,4.942,
2006-01,4.866,
2006-04,4.836,
2006-07,4.700,
2006-10,4.546,
2007-01,4.225,
2007-04,3.852,
2007-07,3.673,
2007-10,3.531,
2008-01,3.392,
2008-04,2.795,
2008-07,2.673,
2008-10,2.573,
2009-01,2.449,
2009-04,2.408,
2009-07,2.365,
2009-10,2.612,
2010-01,2.558,
2010-04,2.494,
2010-07,2.442,
2010-10,2.139,
2011-01,2.086,
2011-04,2.032,
2011-07,2.116,
2011-10,2.033,
2012-01,1.984,
2012-04,1.969,
2012-07,1.885,
2012-10,1.841,
2013-01,1.809,
2013-04,1.777,
2013-07,1.759,
2013-10,1.747,
2014-01,1.678,
2014-04,1.632,
2014-07,1.599,
