"",BBK01.OEAE03T,BBK01.OEAE03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:02,
2002-01,0.180,
2002-04,0.177,
2002-07,0.182,
2002-10,0.190,
2003-01,0.187,
2003-04,0.179,
2003-07,0.146,
2003-10,0.148,
2004-01,0.159,
2004-04,0.152,
2004-07,0.148,
2004-10,0.151,
2005-01,0.135,
2005-04,0.136,
2005-07,0.133,
2005-10,0.098,
2006-01,0.087,
2006-04,0.140,
2006-07,0.151,
2006-10,0.159,
2007-01,0.157,
2007-04,0.133,
2007-07,0.155,
2007-10,0.165,
2008-01,0.162,
2008-04,0.160,
2008-07,0.165,
2008-10,0.160,
2009-01,0.159,
2009-04,0.166,
2009-07,0.172,
2009-10,0.174,
2010-01,0.165,
2010-04,0.182,
2010-07,0.191,
2010-10,0.200,
2011-01,0.218,
2011-04,0.236,
2011-07,0.263,
2011-10,0.275,
2012-01,0.192,
2012-04,0.261,
2012-07,0.269,
2012-10,0.283,
2013-01,0.283,
2013-04,0.287,
2013-07,0.324,
2013-10,0.303,
2014-01,0.315,
2014-04,0.348,
2014-07,0.323,
