"",BBK01.OEAA39S,BBK01.OEAA39S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:10,
2002-01,7.435,
2002-04,7.513,
2002-07,7.612,
2002-10,7.751,
2003-01,7.776,
2003-04,7.838,
2003-07,7.947,
2003-10,8.020,
2004-01,7.975,
2004-04,7.986,
2004-07,7.979,
2004-10,7.530,
2005-01,8.399,
2005-04,8.435,
2005-07,8.440,
2005-10,8.391,
2006-01,8.357,
2006-04,8.405,
2006-07,8.473,
2006-10,8.544,
2007-01,8.519,
2007-04,8.666,
2007-07,8.656,
2007-10,8.646,
2008-01,8.566,
2008-04,8.530,
2008-07,8.618,
2008-10,8.612,
2009-01,8.581,
2009-04,9.106,
2009-07,9.210,
2009-10,9.184,
2010-01,9.188,
2010-04,9.260,
2010-07,9.306,
2010-10,9.311,
2011-01,9.451,
2011-04,9.509,
2011-07,9.598,
2011-10,9.695,
2012-01,9.760,
2012-04,9.921,
2012-07,10.058,
2012-10,10.160,
2013-01,10.248,
2013-04,10.394,
2013-07,10.566,
2013-10,10.715,
2014-01,10.802,
2014-04,11.003,
2014-07,11.211,
