"",BBK01.OEAC18J,BBK01.OEAC18J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:32,
2002-01,0.038,
2002-04,0.036,
2002-07,0.039,
2002-10,0.042,
2003-01,0.039,
2003-04,0.032,
2003-07,0.038,
2003-10,0.027,
2004-01,0.043,
2004-04,0.053,
2004-07,0.052,
2004-10,0.053,
2005-01,0.022,
2005-04,0.021,
2005-07,0.014,
2005-10,0.013,
2006-01,0.015,
2006-04,0.008,
2006-07,0.012,
2006-10,0.009,
2007-01,0.030,
2007-04,0.042,
2007-07,0.014,
2007-10,0.022,
2008-01,0.018,
2008-04,0.050,
2008-07,0.011,
2008-10,0.034,
2009-01,0.042,
2009-04,0.052,
2009-07,0.064,
2009-10,0.069,
2010-01,-0.049,
2010-04,0.105,
2010-07,0.096,
2010-10,0.101,
2011-01,0.082,
2011-04,0.085,
2011-07,0.082,
2011-10,0.080,
2012-01,0.097,
2012-04,0.084,
2012-07,0.105,
2012-10,0.108,
2013-01,0.097,
2013-04,0.096,
2013-07,0.126,
2013-10,0.107,
2014-01,0.119,
2014-04,0.116,
2014-07,0.108,
