"",BBEX3.M.PHP.USD.CA.AA.A01,BBEX3.M.PHP.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in the Phillippines / USD 1 = PHP ... (buying),
unit,PHP (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:11,
1985-01,17.70000,
1985-02,17.60000,
1985-03,17.90000,
1985-04,17.95000,
1985-05,17.95000,
1985-06,18.00000,
1985-07,18.20000,
1985-08,18.10000,
1985-09,18.10000,
1985-10,18.20000,
1985-11,18.20000,
1985-12,18.45000,
1986-01,19.32000,
1986-02,21.50000,
1986-03,20.31000,
1986-04,20.29500,
1986-05,20.29500,
1986-06,20.37400,
1986-07,20.22100,
1986-08,20.26500,
1986-09,20.24400,
1986-10,20.23200,
1986-11,20.23200,
1986-12,20.32500,
1987-01,20.27300,
1987-02,20.32300,
1987-03,20.34500,
1987-04,20.27900,
1987-05,20.26100,
1987-06,20.25100,
1987-07,20.23600,
1987-08,20.24800,
1987-09,20.39400,
1987-10,20.58700,
1987-11,20.88900,
1987-12,20.59200,
1988-01,20.66100,
1988-02,20.80600,
1988-03,20.80600,
1988-04,20.80800,
1988-05,20.69600,
1988-06,20.85100,
1988-07,20.82800,
1988-08,20.86800,
1988-09,21.12300,
1988-10,21.17800,
1988-11,21.16500,
1988-12,21.12200,
1989-01,21.13700,
1989-02,21.13700,
1989-03,21.11700,
1989-04,21.34800,
1989-05,21.39200,
1989-06,21.58900,
1989-07,21.66100,
1989-08,21.70100,
1989-09,21.72600,
1989-10,21.87900,
1989-11,22.01200,
1989-12,22.21600,
1990-01,22.31800,
1990-02,22.53300,
1990-03,22.63600,
1990-04,22.57700,
1990-05,22.74700,
1990-06,23.03700,
1990-07,23.71100,
1990-08,25.74000,
1990-09,25.49300,
1990-10,25.49300,
1990-11,27.72000,
1990-12,27.72000,
1991-01,28.00100,
1991-02,27.80500,
1991-03,27.72000,
1991-04,27.56400,
1991-05,27.49300,
1991-06,27.42300,
1991-07,27.32400,
1991-08,26.73000,
1991-09,26.43300,
1991-10,26.63100,
1991-11,26.23500,
1991-12,26.03700,
1992-01,25.87300,
1992-02,25.32900,
1992-03,24.39100,
1992-04,25.48100,
1992-05,26.20200,
1992-06,25.25900,
1992-07,24.51500,
1992-08,22.87700,
1992-09,24.68300,
1992-10,24.19700,
1992-11,24.91200,
1992-12,24.56400,
1993-01,24.90470,
1993-02,24.91460,
1993-03,25.57620,
1993-04,26.36620,
1993-05,26.78100,
1993-06,26.91920,
1993-07,27.53150,
1993-08,27.69930,
1993-09,29.40280,
1993-10,28.68680,
1993-11,27.55120,
1993-12,27.39325,
1994-01,27.30536,
1994-02,27.35375,
1994-03,27.18580,
1994-04,26.72170,
1994-05,26.34650,
1994-06,26.46500,
1994-07,26.24770,
1994-08,26.06210,
1994-09,25.92180,
1994-10,24.55910,
1994-11,23.79875,
