"",BBFN1.M.DE.N.1.L.B0.S1P.F0.L.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.B0.S1P.F0.L.NV00.Z01.BGA.X001.D_FLAGS
1998-07,29.780,
1998-08,30.210,
1998-09,30.653,
1998-10,33.015,
1998-11,32.234,
1998-12,34.097,
1999-01,34.235,
1999-02,34.248,
1999-03,34.253,
1999-04,34.168,
1999-05,38.517,
1999-06,40.293,
1999-07,43.314,
1999-08,44.306,
1999-09,46.607,
1999-10,49.544,
1999-11,51.265,
1999-12,53.347,
2000-01,58.436,
2000-02,59.677,
2000-03,59.578,
2000-04,56.790,
2000-05,57.217,
2000-06,59.190,
2000-07,74.907,
2000-08,74.889,
2000-09,76.278,
2000-10,76.034,
2000-11,74.785,
2000-12,116.669,
2001-01,121.349,
2001-02,121.069,
2001-03,121.661,
2001-04,120.168,
2001-05,124.391,
2001-06,125.941,
2001-07,134.681,
2001-08,135.945,
2001-09,139.698,
2001-10,141.057,
2001-11,143.671,
2001-12,144.104,
2002-01,157.069,
2002-02,159.660,
2002-03,155.736,
2002-04,163.987,
2002-05,182.066,
2002-06,178.044,
2002-07,179.983,
2002-08,181.311,
2002-09,183.697,
2002-10,185.605,
2002-11,187.634,
2002-12,189.910,
2003-01,184.964,
2003-02,186.664,
2003-03,188.359,
2003-04,191.806,
2003-05,192.261,
2003-06,195.074,
2003-07,194.154,
2003-08,197.489,
2003-09,198.577,
2003-10,198.818,
2003-11,199.533,
2003-12,190.823,
2004-01,188.214,
2004-02,163.467,
2004-03,162.141,
2004-04,163.446,
2004-05,168.337,
2004-06,172.827,
2004-07,171.896,
2004-08,171.527,
2004-09,169.376,
2004-10,165.695,
2004-11,162.146,
2004-12,160.301,
2005-01,163.676,
2005-02,165.064,
2005-03,164.782,
2005-04,164.889,
2005-05,166.797,
2005-06,165.120,
2005-07,160.690,
2005-08,160.044,
2005-09,160.149,
2005-10,164.576,
2005-11,166.406,
2005-12,167.643,
2006-01,169.168,
2006-02,171.332,
2006-03,175.122,
2006-04,174.833,
2006-05,174.583,
2006-06,175.875,
2006-07,176.238,
2006-08,176.370,
2006-09,176.049,
2006-10,176.503,
2006-11,176.094,
2006-12,171.022,
2007-01,171.234,
2007-02,168.153,
2007-03,169.051,
2007-04,170.076,
2007-05,168.084,
2007-06,167.432,
2007-07,166.314,
2007-08,167.227,
2007-09,165.553,
2007-10,167.095,
2007-11,163.990,
2007-12,156.188,
2008-01,157.548,
2008-02,156.339,
2008-03,156.265,
2008-04,160.624,
2008-05,165.034,
2008-06,161.310,
2008-07,162.261,
2008-08,163.753,
2008-09,168.595,
2008-10,172.641,
2008-11,175.933,
2008-12,174.846,
2009-01,182.923,
2009-02,193.144,
2009-03,194.514,
2009-04,196.614,
2009-05,200.864,
2009-06,201.269,
2009-07,205.949,
2009-08,206.524,
2009-09,204.063,
2009-10,205.937,
2009-11,205.947,
2009-12,210.204,
2010-01,207.958,
2010-02,208.955,
2010-03,213.654,
2010-04,215.675,
2010-05,215.078,
2010-06,214.529,
2010-07,216.388,
2010-08,217.138,
2010-09,217.776,
2010-10,217.402,
2010-11,217.352,
2010-12,225.530,
2011-01,225.290,
2011-02,225.808,
2011-03,230.601,
2011-04,232.214,
2011-05,235.589,
2011-06,235.452,
2011-07,237.234,
2011-08,236.971,
2011-09,236.455,
2011-10,237.851,
2011-11,231.888,
2011-12,232.385,
2012-01,234.916,
2012-02,234.879,
2012-03,238.279,
2012-04,242.137,
2012-05,244.727,
2012-06,248.477,
2012-07,248.087,
2012-08,251.803,
2012-09,252.342,
2012-10,252.622,
2012-11,255.668,
2012-12,255.579,
2013-01,258.023,
2013-02,257.090,
2013-03,262.496,
2013-04,278.248,
2013-05,277.755,
2013-06,278.621,
2013-07,274.607,
2013-08,276.202,
2013-09,278.884,
2013-10,289.038,
2013-11,285.148,
2013-12,287.119,
2014-01,285.577,
2014-02,287.933,
2014-03,290.142,
2014-04,290.415,
2014-05,294.360,
2014-06,297.153,
2014-07,297.207,
2014-08,297.073,
2014-09,296.691,
2014-10,298.230,
2014-11,300.043,
2014-12,298.871,
"","General: From 1973, including Denmark, Ireland and the United Kingdom; from 1981, including Greece; from 1986, including Portugal and Spain; from 1995, including Austria, Finland and Sweden; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
