"",BBK01.QUB227,BBK01.QUB227_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:44:06,
2007-12,0.149,
2008-01,0.153,
2008-02,0.153,
2008-03,0.152,
2008-04,0.151,
2008-05,0.152,
2008-06,0.143,
2008-07,0.139,
2008-08,0.139,
2008-09,0.142,
2008-10,0.142,
2008-11,0.141,
2008-12,0.140,
2009-01,0.139,
2009-02,0.140,
2009-03,0.126,
2009-04,0.125,
2009-05,0.125,
2009-06,0.136,
2009-07,0.139,
2009-08,0.139,
2009-09,0.138,
2009-10,0.138,
2009-11,0.138,
2009-12,0.137,
2010-01,0.137,
2010-02,0.137,
2010-03,0.138,
2010-04,0.137,
2010-05,0.140,
2010-06,.,No value available
2010-07,.,No value available
2010-08,.,No value available
2010-09,.,No value available
2010-10,.,No value available
2010-11,.,No value available
2010-12,.,No value available
2011-01,0.093,
2011-02,0.093,
2011-03,0.090,
2011-04,0.090,
2011-05,0.092,
2011-06,0.092,
2011-07,0.061,
2011-08,0.061,
2011-09,0.060,
2011-10,0.092,
2011-11,0.087,
2011-12,0.087,
2012-01,0.088,
2012-02,0.088,
2012-03,0.087,
2012-04,0.087,
2012-05,0.087,
2012-06,0.087,
2012-07,0.087,
2012-08,0.087,
2012-09,0.086,
2012-10,0.086,
2012-11,0.086,
2012-12,0.086,
2013-01,0.085,
2013-02,0.085,
2013-03,0.085,
2013-04,0.089,
2013-05,0.089,
2013-06,0.088,
2013-07,0.067,
2013-08,0.067,
2013-09,0.035,
2013-10,0.035,
2013-11,0.035,
2013-12,0.035,
2014-01,0.035,
2014-02,0.035,
2014-03,0.035,
2014-04,0.035,
2014-05,0.035,
2014-06,0.035,
2014-07,0.035,
2014-08,0.035,
2014-09,0.035,
2014-10,0.033,
2014-11,0.033,
