"",BBFB1.Q.N.DE.S1.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.S1.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Asia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:43,
1991-01,-29.944,
1991-04,-8.975,
1991-07,-9.936,
1991-10,-39.002,
1992-01,60.564,
1992-04,79.799,
1992-07,73.661,
1992-10,70.403,
1993-01,-58.536,
1993-04,-7.043,
1993-07,-3.251,
1993-10,-33.386,
1994-01,39.470,
1994-04,52.161,
1994-07,89.960,
1994-10,88.942,
1995-01,67.741,
1995-04,87.481,
1995-07,88.306,
1995-10,89.319,
1996-01,-8.293,
1996-04,43.829,
1996-07,43.672,
1996-10,28.059,
1997-01,-390.155,
1997-04,-371.698,
1997-07,-363.271,
1997-10,-372.257,
1998-01,-354.169,
1998-04,-213.130,
1998-07,11.191,
1998-10,-159.659,
1999-01,-340.250,
1999-04,-39.333,
1999-07,147.961,
1999-10,116.407,
2000-01,71.221,
2000-04,-45.992,
2000-07,46.185,
2000-10,79.103,
2001-01,-169.531,
2001-04,89.887,
2001-07,143.074,
2001-10,-106.770,
2002-01,120.348,
2002-04,129.718,
2002-07,161.515,
2002-10,109.217,
2003-01,-144.106,
2003-04,3.225,
2003-07,115.423,
2003-10,335.152,
2004-01,685.715,
2004-04,652.355,
2004-07,325.869,
2004-10,885.025,
2005-01,707.842,
2005-04,614.220,
2005-07,141.306,
2005-10,635.877,
2006-01,794.623,
2006-04,639.549,
2006-07,322.438,
2006-10,524.750,
2007-01,1321.875,
2007-04,929.031,
2007-07,820.538,
2007-10,-361.784,
2008-01,442.478,
2008-04,120.297,
2008-07,-404.513,
2008-10,2.625,
2009-01,688.865,
2009-04,389.644,
2009-07,671.194,
2009-10,686.168,
2010-01,1551.445,
2010-04,758.014,
2010-07,1752.503,
2010-10,1492.149,
2011-01,1962.218,
2011-04,1345.689,
2011-07,1812.644,
2011-10,1727.581,
2012-01,1990.032,
2012-04,177.123,
2012-07,1546.968,
2012-10,1625.467,
2013-01,2527.936,
2013-04,619.834,
2013-07,1564.975,
2013-10,2133.760,
2014-01,2439.278,Provisional value
2014-04,272.377,Provisional value
2014-07,1863.995,Provisional value
2014-10,1903.197,Provisional value
