"",BBK01.OEYB16S,BBK01.OEYB16S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:34,
2002-01,0.255,
2002-04,0.235,
2002-07,0.239,
2002-10,0.240,
2003-01,0.237,
2003-04,0.238,
2003-07,0.235,
2003-10,0.235,
2004-01,0.234,
2004-04,0.233,
2004-07,0.234,
2004-10,0.175,
2005-01,0.172,
2005-04,0.170,
2005-07,0.170,
2005-10,0.166,
2006-01,0.165,
2006-04,0.161,
2006-07,0.160,
2006-10,0.155,
2007-01,0.154,
2007-04,0.150,
2007-07,0.151,
2007-10,0.152,
2008-01,0.151,
2008-04,0.153,
2008-07,0.159,
2008-10,0.158,
2009-01,0.161,
2009-04,0.161,
2009-07,0.163,
2009-10,0.160,
2010-01,0.155,
2010-04,0.150,
2010-07,0.148,
2010-10,0.150,
2011-01,0.153,
2011-04,0.153,
2011-07,0.148,
2011-10,0.148,
2012-01,0.152,
2012-04,0.160,
2012-07,0.162,
2012-10,0.163,
2013-01,0.164,
2013-04,0.166,
2013-07,0.170,
2013-10,0.171,
2014-01,0.172,
2014-04,0.176,
2014-07,0.178,
