"",BBK01.OEHI04R,BBK01.OEHI04R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:47,
2002-01,0.465,
2002-04,0.466,
2002-07,0.463,
2002-10,0.437,
2003-01,0.436,
2003-04,0.414,
2003-07,0.422,
2003-10,0.401,
2004-01,0.436,
2004-04,0.436,
2004-07,0.425,
2004-10,0.384,
2005-01,0.369,
2005-04,0.357,
2005-07,0.356,
2005-10,0.345,
2006-01,0.352,
2006-04,0.363,
2006-07,0.356,
2006-10,0.335,
2007-01,0.310,
2007-04,0.326,
2007-07,0.350,
2007-10,0.329,
2008-01,0.349,
2008-04,0.365,
2008-07,0.377,
2008-10,0.451,
2009-01,0.406,
2009-04,0.347,
2009-07,0.306,
2009-10,0.271,
2010-01,0.255,
2010-04,0.243,
2010-07,0.269,
2010-10,0.251,
2011-01,0.261,
2011-04,0.269,
2011-07,0.280,
2011-10,0.281,
2012-01,0.240,
2012-04,0.220,
2012-07,0.214,
2012-10,0.187,
2013-01,0.181,
2013-04,0.162,
2013-07,0.157,
2013-10,0.147,
2014-01,0.144,
2014-04,0.132,
2014-07,0.128,
