"",BBK01.OEYI01L,BBK01.OEYI01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:35,
2002-01,95.782,
2002-04,95.053,
2002-07,94.427,
2002-10,93.462,
2003-01,94.281,
2003-04,95.361,
2003-07,96.220,
2003-10,94.489,
2004-01,93.210,
2004-04,94.943,
2004-07,95.816,
2004-10,95.770,
2005-01,96.365,
2005-04,97.725,
2005-07,99.330,
2005-10,94.882,
2006-01,95.666,
2006-04,94.316,
2006-07,93.660,
2006-10,92.671,
2007-01,91.764,
2007-04,91.582,
2007-07,90.328,
2007-10,87.622,
2008-01,87.792,
2008-04,91.192,
2008-07,99.986,
2008-10,101.065,
2009-01,99.786,
2009-04,92.751,
2009-07,82.299,
2009-10,79.314,
2010-01,77.644,
2010-04,79.175,
2010-07,77.760,
2010-10,76.562,
2011-01,73.616,
2011-04,74.019,
2011-07,78.185,
2011-10,73.408,
2012-01,72.523,
2012-04,68.558,
2012-07,67.265,
2012-10,64.993,
2013-01,66.087,
2013-04,63.481,
2013-07,65.507,
2013-10,69.110,
2014-01,64.645,
2014-04,64.543,
2014-07,62.117,
