"",BBFN1.M.DE.N.1.L.GB.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.GB.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / United Kingdom,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:16:06,
1968-12,0.589,
1969-01,.,No value available
1969-02,.,No value available
1969-03,.,No value available
1969-04,.,No value available
1969-05,.,No value available
1969-06,.,No value available
1969-07,.,No value available
1969-08,.,No value available
1969-09,.,No value available
1969-10,.,No value available
1969-11,.,No value available
1969-12,0.751,
1970-01,.,No value available
1970-02,.,No value available
1970-03,.,No value available
1970-04,.,No value available
1970-05,.,No value available
1970-06,.,No value available
1970-07,.,No value available
1970-08,.,No value available
1970-09,.,No value available
1970-10,.,No value available
1970-11,.,No value available
1970-12,1.248,
1971-01,.,No value available
1971-02,.,No value available
1971-03,.,No value available
1971-04,.,No value available
1971-05,.,No value available
1971-06,.,No value available
1971-07,.,No value available
1971-08,.,No value available
1971-09,.,No value available
1971-10,.,No value available
1971-11,.,No value available
1971-12,1.190,
1972-01,.,No value available
1972-02,.,No value available
1972-03,.,No value available
1972-04,.,No value available
1972-05,.,No value available
1972-06,.,No value available
1972-07,.,No value available
1972-08,.,No value available
1972-09,.,No value available
1972-10,.,No value available
1972-11,.,No value available
1972-12,0.558,
1973-01,.,No value available
1973-02,.,No value available
1973-03,.,No value available
1973-04,.,No value available
1973-05,.,No value available
1973-06,.,No value available
1973-07,.,No value available
1973-08,.,No value available
1973-09,.,No value available
1973-10,.,No value available
1973-11,.,No value available
1973-12,0.285,
1974-01,.,No value available
1974-02,.,No value available
1974-03,.,No value available
1974-04,.,No value available
1974-05,.,No value available
1974-06,.,No value available
1974-07,.,No value available
1974-08,.,No value available
1974-09,.,No value available
1974-10,.,No value available
1974-11,.,No value available
1974-12,0.597,
1975-01,.,No value available
1975-02,.,No value available
1975-03,.,No value available
1975-04,.,No value available
1975-05,.,No value available
1975-06,.,No value available
1975-07,.,No value available
1975-08,.,No value available
1975-09,.,No value available
1975-10,.,No value available
1975-11,.,No value available
1975-12,0.658,
1976-01,0.634,
1976-02,0.774,
1976-03,0.862,
1976-04,0.911,
1976-05,0.849,
1976-06,0.892,
1976-07,0.800,
1976-08,0.816,
1976-09,0.907,
1976-10,1.210,
1976-11,0.950,
1976-12,0.841,
1977-01,0.897,
1977-02,0.975,
1977-03,0.896,
1977-04,0.830,
1977-05,0.953,
1977-06,1.017,
1977-07,1.096,
1977-08,1.029,
1977-09,1.015,
1977-10,1.127,
1977-11,1.285,
1977-12,1.165,
1978-01,1.332,
1978-02,1.346,
1978-03,1.201,
1978-04,1.243,
1978-05,1.417,
1978-06,1.532,
1978-07,1.620,
1978-08,1.775,
1978-09,1.663,
1978-10,2.016,
1978-11,2.110,
1978-12,1.792,
1979-01,1.778,
1979-02,1.883,
1979-03,1.737,
1979-04,1.713,
1979-05,1.590,
1979-06,1.884,
1979-07,1.986,
1979-08,1.976,
1979-09,2.131,
1979-10,2.209,
1979-11,2.259,
1979-12,1.686,
1980-01,2.489,
1980-02,2.960,
1980-03,3.074,
1980-04,3.542,
1980-05,3.340,
1980-06,3.631,
1980-07,3.760,
1980-08,4.278,
1980-09,4.194,
1980-10,4.390,
1980-11,4.288,
1980-12,4.035,
1981-01,4.988,
1981-02,4.416,
1981-03,5.244,
1981-04,5.589,
1981-05,6.067,
1981-06,6.073,
1981-07,6.246,
1981-08,6.465,
1981-09,6.519,
1981-10,6.495,
1981-11,6.748,
1981-12,5.500,
1982-01,6.548,
1982-02,7.244,
1982-03,7.490,
1982-04,7.801,
1982-05,8.186,
1982-06,8.244,
1982-07,8.413,
1982-08,8.948,
1982-09,9.077,
1982-10,9.176,
1982-11,9.048,
1982-12,7.972,
1983-01,9.231,
1983-02,9.194,
1983-03,8.789,
1983-04,8.437,
1983-05,8.520,
1983-06,8.518,
1983-07,8.453,
1983-08,8.340,
1983-09,8.088,
1983-10,8.373,
1983-11,8.695,
1983-12,7.733,
1984-01,8.269,
1984-02,8.512,
1984-03,8.511,
1984-04,8.586,
1984-05,8.754,
1984-06,8.921,
1984-07,9.563,
1984-08,9.974,
1984-09,9.477,
1984-10,10.142,
1984-11,10.500,
1984-12,8.989,
1985-01,9.223,
1985-02,9.610,
1985-03,9.910,
1985-04,9.533,
1985-05,9.860,
1985-06,9.703,
1985-07,9.941,
1985-08,9.799,
1985-09,9.427,
1985-10,9.686,
1985-11,10.156,
1985-12,8.932,
1986-01,9.496,
1986-02,9.445,
1986-03,9.578,
1986-04,9.317,
1986-05,9.077,
1986-06,8.842,
1986-07,8.804,
1986-08,8.728,
1986-09,8.452,
1986-10,8.604,
1986-11,8.562,
1986-12,7.333,
1987-01,7.753,
1987-02,7.914,
1987-03,7.354,
1987-04,7.065,
1987-05,7.057,
1987-06,6.792,
1987-07,6.946,
1987-08,6.954,
1987-09,7.103,
1987-10,7.651,
1987-11,7.840,
1987-12,7.290,
1988-01,7.498,
1988-02,7.686,
1988-03,7.684,
1988-04,7.729,
1988-05,7.999,
1988-06,8.147,
1988-07,8.143,
1988-08,8.128,
1988-09,8.176,
1988-10,8.162,
1988-11,8.197,
1988-12,7.997,
1989-01,8.420,
1989-02,8.357,
1989-03,8.528,
1989-04,8.585,
1989-05,8.758,
1989-06,8.962,
1989-07,8.884,
1989-08,9.256,
1989-09,9.336,
1989-10,9.294,
1989-11,10.121,
1989-12,9.243,
1990-01,10.135,
1990-02,10.477,
1990-03,10.568,
1990-04,10.466,
1990-05,10.072,
1990-06,10.297,
1990-07,10.539,
1990-08,11.101,
1990-09,11.562,
1990-10,11.762,
1990-11,11.884,
1990-12,10.301,
1991-01,10.970,
1991-02,11.361,
1991-03,11.719,
1991-04,11.865,
1991-05,12.265,
1991-06,12.536,
1991-07,12.815,
1991-08,13.312,
1991-09,13.429,
1991-10,13.934,
1991-11,13.658,
1991-12,13.216,
1992-01,12.191,
1992-02,11.332,
1992-03,10.194,
1992-04,9.144,
1992-05,9.829,
1992-06,9.785,
1992-07,10.540,
1992-08,10.419,
1992-09,10.871,
1992-10,11.261,
1992-11,12.258,
1992-12,11.576,
1993-01,13.017,
1993-02,12.321,
1993-03,11.828,
1993-04,12.841,
1993-05,12.461,
1993-06,11.759,
1993-07,11.833,
1993-08,12.134,
1993-09,11.514,
1993-10,11.609,
1993-11,10.628,
1993-12,10.747,
1994-01,10.816,
1994-02,11.243,
1994-03,11.910,
1994-04,12.308,
1994-05,12.682,
1994-06,12.009,
1994-07,11.723,
1994-08,11.636,
1994-09,11.733,
1994-10,11.222,
1994-11,11.470,
1994-12,10.987,
1995-01,11.140,
1995-02,10.702,
1995-03,11.963,
1995-04,11.197,
1995-05,11.355,
1995-06,11.208,
1995-07,11.354,
1995-08,11.059,
1995-09,10.845,
1995-10,11.141,
1995-11,10.996,
1995-12,10.259,
1996-01,10.097,
1996-02,10.543,
1996-03,10.755,
1996-04,11.473,
1996-05,15.247,
1996-06,11.872,
1996-07,11.950,
1996-08,11.989,
1996-09,12.765,
1996-10,13.743,
1996-11,12.541,
1996-12,12.231,
1997-01,13.737,
1997-02,14.354,
1997-03,14.104,
1997-04,15.283,
1997-05,14.420,
1997-06,15.730,
1997-07,16.734,
1997-08,14.061,
1997-09,13.480,
1997-10,15.674,
1997-11,13.884,
1997-12,13.966,
1998-01,12.087,
1998-02,12.387,
1998-03,14.038,
1998-04,19.340,
1998-05,19.685,
1998-06,17.900,
1998-07,16.056,
1998-08,16.263,
1998-09,14.017,
1998-10,16.674,
1998-11,16.756,
1998-12,14.814,
1999-01,14.089,
1999-02,13.990,
1999-03,16.486,
1999-04,16.903,
1999-05,17.117,
1999-06,18.681,
1999-07,18.713,
1999-08,19.681,
