"",BBFI1.Q.N.DE.W1.S13.S1.LE.L.FA._T.FGED._Z._T._X.N,BBFI1.Q.N.DE.W1.S13.S1.LE.L.FA._T.FGED._Z._T._X.N_FLAGS
"",AVS - Gross external debt - General government - Liabilities - Positions - all currencies,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:33,
1999-10,401051,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,433240,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,447063,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,520299,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,534598,
2004-01,565082,
2004-04,550091,
2004-07,583577,
2004-10,603761,
2005-01,627928,
2005-04,678441,
2005-07,688095,
2005-10,693985,
2006-01,691528,
2006-04,675181,
2006-07,699318,
2006-10,703837,
2007-01,696459,
2007-04,701077,
2007-07,713977,
2007-10,737292,
2008-01,764217,
2008-04,762537,
2008-07,809282,
2008-10,857855,
2009-01,896659,
2009-04,929409,
2009-07,944965,
2009-10,924332,
2010-01,953775,
2010-04,999910,
2010-07,1047143,
2010-10,1100610,
2011-01,1086441,
2011-04,1142942,
2011-07,1245272,
2011-10,1283544,
2012-01,1299132,
2012-04,1343960,
2012-07,1336371,
2012-10,1365239,
2013-01,1362582,
2013-04,1328340,
2013-07,1296555,
2013-10,1274626,
2014-01,1320765,
2014-04,1356811,
2014-07,1367886,
