"",BBK01.OECJ01V,BBK01.OECJ01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:16,
2002-01,1.804,
2002-04,1.872,
2002-07,2.010,
2002-10,2.181,
2003-01,1.958,
2003-04,1.888,
2003-07,1.974,
2003-10,2.797,
2004-01,3.023,
2004-04,3.433,
2004-07,3.883,
2004-10,2.764,
2005-01,2.757,
2005-04,3.050,
2005-07,4.460,
2005-10,3.132,
2006-01,2.813,
2006-04,2.886,
2006-07,3.097,
2006-10,3.619,
2007-01,3.541,
2007-04,3.326,
2007-07,3.423,
2007-10,3.753,
2008-01,3.882,
2008-04,3.758,
2008-07,4.244,
2008-10,3.466,
2009-01,4.491,
2009-04,4.304,
2009-07,4.181,
2009-10,3.407,
2010-01,3.531,
2010-04,3.608,
2010-07,3.400,
2010-10,3.300,
2011-01,3.512,
2011-04,3.532,
2011-07,3.533,
2011-10,3.524,
2012-01,3.501,
2012-04,3.245,
2012-07,3.378,
2012-10,3.167,
2013-01,3.087,
2013-04,3.081,
2013-07,3.103,
2013-10,3.323,
2014-01,3.407,
2014-04,3.284,
2014-07,3.297,
